Rank,Name,Nat.,20/09 Belgrade (SA),27/09 Gand (SA),04/10 Genève (SA),11/10 Split (SA),18/10 Dublin (SA),25/10 Barcelone (SA),05/12 Vancouver (A),09/01 Fujairah (A),24/01 Doha (GP),05/02 Heidenheim (A),26/03 Astana (A),17/04 Budapest (GP),08/05 Medellín (GP),22/05 Berne (A),01/06 Abidjan (CHZ),16/06 Lima (CHZ),16/06 Antony (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
221,BOULIERE Clement,FRA,,,,,,,,0.25,0.375,0.25,2.0,0.375,3.0,0.25,,,,,,6.0
222,EWART Stephen,USA,,,,,,,,0.5,,0.0,2.0,,1.5,2.0,,,,,,6.0
223,HWANG Hyeonil,KOR,,,,,,,2.0,0.0,1.5,0.5,0.5,0.375,1.5,0.25,,,,,,6.0
224,CROOK Lachlan,AUS,,,,,,,1.0,0.25,0.0,0.5,0.25,,0.375,0.25,,,,3.0,0.625,6.0
225,YASSEEN Mohamed,EGY,,,,,,,2.0,1.0,0.0,2.0,,0.375,,0.5,,,,,,5.875
226,GALABOV Yordan,BUL,0.25,,,,2.0,,0.0,,0.75,0.25,0.0,0.375,,,,,1.5,,0.625,5.75
227,CUPR Michal,CZE,,,,,,,0.25,,,0.5,0.0,0.375,0.75,0.25,,,3.0,,0.625,5.75
228,SAMOILOV Roman,UKR,0.5,,0.0,2.0,,,,0.0,0.75,0.25,2.0,0.375,,0.0,,,,,,5.625
229,YU Lefan,CHN,,,,,,,,2.0,,1.0,2.0,0.375,,0.25,,,,,,5.625
230,TAURIAINEN Topias,FIN,,,,,,,,0.25,0.0,0.5,0.25,0.375,,0.25,,,1.5,,2.5,5.625
231,SZAPARY Tristan,USA,,,,,,,0.5,,1.5,0.5,,,3.0,,,,,,,5.5
232,LAASIK Oliver,EST,,,,0.25,,2.0,,0.25,1.5,0.5,,0.375,,0.25,,,0.0,,0.625,5.25
233,ALAKKAS Omar,KSA,,,,,,,0.0,0.25,0.375,1.0,,0.0,,0.0,,,,3.0,0.625,5.25
234,ANDREWS Benjamin,GBR,,,0.5,,,,0.0,,0.375,,0.0,0.375,,0.25,,,3.0,,0.625,5.125
235,OPANASENKO Andrii,UKR,,,0.0,0.0,,,,2.0,1.5,1.0,0.25,0.375,,0.25,,,,,,5.125
236,CANDELA Nicholas,USA,,,,,,,0.5,1.0,3.0,0.25,,0.375,,,,,,,,5.125
237,ELIBOL Halis Efe,TUR,1.0,,,,,,,,0.75,0.25,,1.5,,0.0,,,1.5,,,5.0
238,SCHUHMANN Jan,AUT,,,,,0.5,0.0,1.0,,0.0,0.25,,0.375,0.0,0.0,,,1.5,,1.25,4.875
239,GLAZKOV Nikita,RUS,,,,,,,,1.0,3.0,0.25,0.25,0.375,,,,,,,,4.875
240,ONG Azfar Luqman,SGP,,,,,,,0.25,0.0,0.75,0.25,0.0,0.0,,0.5,,,,3.0,0.0,4.75
241,GORBACHUK Yevgeniy,UKR,,,,,,,,,0.0,1.0,0.5,3.0,,0.25,,,,,,4.75
242,BAKOS Balint,HUN,0.0,,,,,,,0.25,,0.5,,3.0,,1.0,,,,,,4.75
243,KUHTA Marko,FIN,,,,,,,,0.5,,1.0,0.25,,,,,,3.0,,,4.75
244,ROA Hernando,COL,,,,,,0.25,0.25,,,0.25,,,3.0,0.25,,0.0,,,0.625,4.625
245,SARKISYAN Artem,RUS,,,,,,,,,,0.5,1.0,3.0,,0.0,,,,,,4.5
246,CIESLIK Jakub,POL,,,,,,,,,,,2.0,0.375,,2.0,,,,,,4.375
247,GROUPIERRE RAMIRO Ivan Salvador,ARG,,,,,,,,,,,,,0.75,,,3.0,,,0.625,4.375
248,HAYES Isaac,AUS,,,,,,,1.0,,0.375,0.0,0.0,,,,,,,3.0,0.0,4.375
249,ABDELTAWAB Youssef,QAT,,,,,,,,,0.75,,,,,,,,,3.0,0.625,4.375
250,SOLA Jakov,CRO,,1.0,,0.0,,,,,0.0,0.25,,,,,,,3.0,,0.0,4.25
251,FREILICH Yuval Shalom,ISR,,,,,,,4.0,0.0,,0.25,,,,,,,,,,4.25
252,FLORIDO Pablo,MEX,,,,,,0.0,0.0,,,,,,,,,3.0,,,1.25,4.25
253,CÁCERES Mario,COL,,,,,,,,0.25,,0.25,,0.0,0.75,0.0,,3.0,,,,4.25
254,GONELL Gerard,ESP,,,,,,2.0,0.5,1.0,,0.25,,,,0.25,,,,,,4.0
255,DE BOCK Cyrille,BEL,,0.5,,,,,,,0.375,0.0,0.0,0.375,,0.25,,,0.0,,2.5,4.0
256,RAJENDRAN SHANTHIMOL Sherjin,IND,,,,,,,0.0,0.0,,,,0.75,,0.25,,,,3.0,0.0,4.0
257,SENNEWALD James,USA,,,,,,,0.25,0.25,3.0,0.25,,,,0.25,,,,,,4.0
258,SIMUNKOVIC Marko,CRO,,,,0.0,1.0,,,,0.0,0.0,,0.75,,,,,1.5,,0.625,3.875
259,JEAL James,GBR,,,0.5,,,0.0,,,,0.25,,0.75,,0.25,,,1.5,,0.625,3.875
260,DORATI Isaac,PAN,,,,,,,,,,,,,0.375,0.5,,3.0,,,,3.875
261,BREMS Alexander,DEN,,,,,,,0.25,0.25,0.75,0.25,0.25,0.0,,0.25,,,1.5,,0.625,3.875
262,HEURLIN VAZQUEZ Lino,FRA,,,,,,,1.0,,0.75,2.0,,,,,,,,,,3.75
263,PAZMINO GALINDO Miguel,ECU,,,,,,,,,,,,,0.75,,,3.0,,,,3.75
264,LE BERRE Gaetan,FRA,,,0.0,,,,,0.5,3.0,0.25,,,,,,,,,,3.75
265,NAKAJIMA Kou,JPN,,,,,,,0.25,0.25,3.0,0.25,,,,,,,,,,3.75
266,BIABIANY Mathias,FRA,,,,,,,,2.0,1.5,0.25,,,,,,,,,,3.75
267,REIJNAERS Finian,BEL,,0.0,,,,,,,0.375,,0.25,0.375,,0.25,,,0.0,,2.5,3.75
268,KOOVAKKAL JOSHY Aloshious,IND,,,,,,,,0.5,0.0,,0.25,,,0.0,,,,3.0,,3.75
269,FAFARD Fynn,CAN,,,,,,,0.5,1.0,,0.0,2.0,0.0,,0.25,,,,,,3.75
270,REKISH Aliaksei,BLR,,,,,,,,0.0,0.75,,,,,,,,3.0,,,3.75
271,PETROV Roman,KGZ,,,,,,,,,,,,,,,,,,3.0,0.625,3.625
272,DOVLETNAZAROV Jumanazar,TKM,,,,,,,,,,,,,,,,,,3.0,0.625,3.625
273,ASHWINI Shaurya,IND,,,,,,,,,,,,,,0.0,,,,3.0,0.625,3.625
274,WIMMER Nathaniel,USA,,,,,,,2.0,,0.375,,0.5,0.75,,,,,,,,3.625
275,MUMINOV Nurmuhammad,UZB,,,,,,,,0.25,0.375,0.0,0.0,,,,,,,3.0,,3.625
276,GULA Maksym,UKR,,,0.25,1.0,,0.0,,,,0.25,0.0,0.0,,2.0,,,,,,3.5
277,MYKYTENKO Maksym,UKR,,,0.25,0.5,,0.0,,,,,0.25,1.5,,1.0,,,,,,3.5
278,SENA Cristiano,ITA,,,,,,,,,,,,,3.0,0.5,,,,,,3.5
279,HSU Ching Wen,TPE,,,,,,,0.0,0.0,,0.25,0.25,,,0.0,,,,3.0,0.0,3.5
280,PAGANELLI Marco,ITA,,,,,,,,0.5,,,,,3.0,,,,,,,3.5
281,MUMENTHALER Colin,SUI,,,1.0,,,,0.25,0.0,0.375,,0.0,0.0,1.5,0.25,,,,,,3.375
282,HARTMANN Sven,AUT,,0.25,,,0.0,0.0,0.0,,0.0,0.0,,0.375,0.0,0.0,,,1.5,,1.25,3.375
283,MONCADA Alejandro,VEN,,,,,,,,,,1.0,,0.375,,2.0,,,,,,3.375
284,KARDASZEWICZ Jan,POL,,,,0.25,,,0.25,1.0,,0.0,0.25,1.5,,0.25,,,,,,3.25
285,AL MAAZMI Mohamed,UAE,0.25,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,3.0,0.0,3.25
286,ALTUNIN Valentin,EST,,,,0.25,,,,0.25,0.75,0.0,0.5,1.5,,,,,,,,3.25
287,ESQUIVEL BERNALES David,CRC,,,,,,,0.25,,,,,,0.0,,,3.0,,,,3.25
288,LOYA Fernando,MEX,,,,,,,0.25,,,,,,,,,3.0,,,0.0,3.25
289,JOHNSTON LEYER Bradley,CRC,,,,,,,0.25,,,,,,0.0,0.0,,3.0,,,0.0,3.25
290,HUSSON Geoffroy,BEL,,0.0,,,,,,,0.75,1.0,0.25,0.375,,0.25,,,0.0,,0.625,3.25
291,BELOZEROV Mikhail,RUS,,,,,,,,2.0,0.375,,0.25,0.375,,0.25,,,,,,3.25
292,RAIYMBEKOV Barsbek,KGZ,,,,,,,,,,,0.25,,,0.0,,,,3.0,0.0,3.25
293,TAVOR Itamar,ISR,,,,,,,0.25,,,0.5,,1.5,,1.0,,,,,,3.25
294,LEGUBE Benoit,FRA,,3.0,0.0,,,,,,,,,,,,,,,,,3.0
295,ESMAEILI Mohammad,IRI,,,,,,,,,,,,,,,,,,3.0,,3.0
296,BERNAL Emmanuel,PAR,,,,,,,,,,,,,,,,3.0,,,,3.0
297,MEJIA GARCIA Cristian Edenilson,ESA,,,,,,,,,,,,,0.0,0.0,,3.0,,,,3.0
298,WILSON Joel,NZL,,,,,,,,,,,,,,,,,,3.0,,3.0
299,MARTINEZ Eduardo,GUA,,,,,,,,,,,,,0.0,,,3.0,,,,3.0
300,DELGADO VILLARUBIA Jean Marcel,PUR,,,,,,,0.0,,,0.0,,,0.0,,,3.0,,,,3.0
301,BAKER Matthew,NZL,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
302,GALVAN Erick,MEX,,,,,,,0.0,,,,,,0.0,,,3.0,,,,3.0
303,ABBAS Mohsin,IRQ,,,,,,,,,0.0,,,,,,,,,3.0,,3.0
304,INDACOCHEA Cristobal,PER,,,,,,,,,,,,,0.0,,,3.0,,,,3.0
305,CABRERA Jorge,CRC,,,,,,,0.0,,,,,,,,,3.0,,,,3.0
306,CUZA RODRIGUEZ Ivan Alberto,CUB,,,,,,,,,,,,,3.0,,,,,,,3.0
307,MOVASHAHI ASR Amirhosein,IRI,,,,,,,,,,,,,,,,,,3.0,,3.0
308,PETERS Nicholas,NZL,,,,,,,,,,,,,,,,,,3.0,,3.0
309,NAMAZI Ali,IRI,,,,,,,,0.0,,,,,,,,,,3.0,,3.0
310,MUNKHKHASAR Ulaankhuu,MGL,,,,,,,,,,,0.0,0.0,,,,,,3.0,0.0,3.0
311,BEIK Behnam,IRI,,,,,,,,0.0,,,,,,,,,,3.0,,3.0
312,PETERSEN Ole,GER,,,,,,,0.25,0.25,1.5,0.25,0.25,0.75,,0.25,,,,,,3.0
313,GAO Daniel,USA,,,,,,,,0.25,1.5,,0.25,,0.75,0.25,,,,,,3.0
314,GRIFFITHS Ryan,USA,,,,,,,,0.25,,0.25,,0.375,1.5,0.5,,,,,,2.875
315,ALDAWOOD Jawad,KSA,,,,,,,1.0,1.0,0.0,0.25,,0.375,,0.25,,,,0.0,,2.875
316,ROUBAILO Niels,NED,0.25,,,,0.0,,0.25,0.25,,0.5,,0.0,1.5,0.0,,,,,,2.75
317,ERBETTA Diego,SUI,,,0.0,,,,0.25,0.25,0.375,,,0.375,0.75,1.0,,,,,,2.75
318,BAYRAM Issa,FRA,,,,,,,,,,,,0.75,1.5,0.5,,,,,,2.75
319,HEINAMAA Akseli,FIN,,,,1.0,1.0,0.0,,,,0.25,0.0,0.375,,0.0,,,,,,2.625
320,LOZENKO Makar,LTU,,0.25,,0.0,0.25,,,,,,,,,,,,1.5,,0.625,2.625
321,HERZBERG Fabian,GER,,0.0,,,,,1.0,,0.0,0.25,0.25,0.375,0.75,0.25,,,,,,2.625
322,BODOCZI Nikolaus,GER,,,,,,,,,,2.0,,0.375,,0.25,,,,,,2.625
323,LIOZNYANSKY Simon,USA,,,,,,,0.25,0.25,0.0,,0.25,0.375,1.5,0.0,,,,,,2.625
324,DOYON-VERDON William,CAN,,,,,,,0.25,0.25,0.375,0.25,,0.0,1.5,,,,,,,2.625
325,LOMAGA Egor,RUS,,,,,,,0.5,1.0,0.375,,0.0,0.75,,,,,,,,2.625
326,TINNIKOV Georgiy,KAZ,,,,,,,,0.25,0.75,1.0,0.0,0.375,,0.25,,,,,,2.625
327,WALLER Jonas,CZE,,,2.0,,,,,0.25,,0.25,,0.0,,,,,,,,2.5
328,ROD Max,POR,,0.0,,,,0.5,,0.5,0.0,0.25,0.25,0.375,,0.25,,,0.0,,0.625,2.5
329,CHIRASHNYA Daniel,USA,,,,,,,0.5,,,2.0,,,,,,,,,,2.5
330,DJATSUK Filipp,EST,,,,0.0,,,0.25,0.25,,0.25,,1.5,,0.25,,,,,,2.5
331,DAMJANOSKI Petar,MKD,,,,,,,,,,,,,,,,,0.0,,2.5,2.5
332,GOUGE Cooper,NZL,,,,,,,0.0,,,,,,,0.0,,,,,2.5,2.5
333,HSU Hong Zhan Kenton,HKG,,,,,,,1.0,,,,,1.5,,,,,,,,2.5
334,KIM Sangjin,KOR,,,,,,,0.25,0.5,0.75,0.0,0.25,,0.75,,,,,,,2.5
335,DABIJA Adrian,ROU,2.0,,,,,,,,,,,0.375,,,,,,,,2.375
336,BONFERRONI Gabriel,SUI,,,0.0,,,,,0.0,0.375,,,,,2.0,,,,,,2.375
337,BAUTISTA Jian Miguel,PHI,,,,,,0.0,,0.25,,,,,,,,,,1.5,0.625,2.375
338,TREBIS Michael,GER,,,,,,,0.5,,0.375,0.5,0.5,0.375,,0.5,,,,,,2.375
339,SOBOLEV Aleksandr,RUS,,,,,,,0.25,0.25,1.5,,0.25,,,,,,,,,2.25
340,MYAGMAR Khuslen,MGL,,,,,,,,,,,0.0,0.0,,0.0,,,,1.5,0.625,2.125
341,WICHT Matteo,SUI,,,0.0,,,,0.5,,,0.0,0.25,0.375,0.75,0.25,,,,,,2.125
342,BALCAR Josef,CZE,,,,,,,,,0.375,0.25,0.0,0.0,1.5,0.0,,,,,,2.125
343,YU Mengxiang,CHN,,,,,,,0.25,0.5,,0.5,0.5,0.375,,0.25,,,,,,2.125
344,FURUTA Ikuo,JPN,,,,,,,0.25,0.0,0.375,0.0,0.5,0.0,0.75,0.25,,,,,,2.125
345,HENSAL Nicolas,CAN,,,,,,,0.5,0.25,,0.0,0.25,0.375,0.75,,,,,,,2.125
346,OBERSON Philippe,SUI,,2.0,,,,,,,,,,,,,,,,,,2.0
347,PAOLINI Giacomo,ITA,,,1.0,,,,1.0,,,,,,,,,,,,,2.0
348,LOCATELLI Marco Francesco,ITA,,,0.5,,,,,,,0.0,,1.5,,,,,,,,2.0
349,KULOZIK Julian,GER,,0.5,,,,,0.5,,0.75,0.25,0.0,,,,,,,,,2.0
350,OJEDA BUITRAGO Daniel,CRC,,,,,,,,,,,,,0.75,,,0.0,,,1.25,2.0
351,DI MARCO Fabrizio,ITA,,,0.0,,,,,,,,2.0,,,,,,,,,2.0
352,SCHUMACHER Cooper,USA,,,,,,,,,,0.25,0.25,,1.5,,,,,,,2.0
353,BRUNOLD Bruce,SUI,,,0.25,,,,,0.25,0.75,0.25,0.0,0.375,,0.25,,,,,,1.875
354,TALIOTIS Alexandros,CYP,,,,,,,,,,,,0.0,,0.25,,,1.5,,,1.75
355,KHAPERSKIY Fedor,ISR,,,,,,,0.25,0.25,,0.0,1.0,,,0.25,,,,,,1.75
356,KREYSCH Hendrik,GER,,,,,,,,,,,,,0.75,1.0,,,,,,1.75
357,NYCZ Mateusz,POL,,,,,,,,,,0.0,,1.5,,0.25,,,,,,1.75
358,WONG Kevin,HKG,,,,,,,0.0,0.0,0.375,0.25,0.0,0.375,0.75,0.0,,,,,,1.75
359,COUFAL Frantisek,CZE,,,0.0,,,,,0.0,,0.25,,0.375,,1.0,,,,,,1.625
360,LAWSON Henry,USA,,,,,,,0.25,1.0,0.375,,,,,,,,,,,1.625
361,KERESZTES Adam,HUN,,,,,,,,1.0,,,,0.375,,0.25,,,,,,1.625
362,BITSCH Peter,GER,,,1.0,,,,,,,0.5,,0.0,,,,,,,,1.5
363,SQUIERI Juliano Nicola,SUI,,,1.0,,,,,,,0.25,,,,0.25,,,,,,1.5
364,DERGAY David,GER,0.5,,0.25,0.25,,,0.25,,0.0,0.25,0.25,,,,,,,,,1.5
365,TAIWO-WILLIAMS Louis,GBR,,,0.5,,,,,,,1.0,,,,,,,,,,1.5
366,SALM Markus,EST,,,,0.5,,,,,,0.0,,0.0,,1.0,,,0.0,,0.0,1.5
367,SATHASIVAN NIRMALA Siva Magesh,IND,,0.25,,,,,,,0.375,,0.25,,,,,,,,0.625,1.5
368,DAHLBO Benjamin,NOR,,0.0,,,0.0,,,,,0.0,,,,0.0,,,1.5,,,1.5
369,WESTGAARD Morten,NOR,,0.0,,,0.0,,,,,0.0,,,,0.0,,,1.5,,,1.5
370,SARRIO Raul,ESP,,,,,,0.0,,,,0.25,,0.75,,0.5,,,,,,1.5
371,PHAM Hung Duong,VIE,,,,,,,,,,,,,,,,,,1.5,,1.5
372,ABDULALI Muhammad,QAT,,,,,,,,,0.0,,0.0,,,,,,,1.5,0.0,1.5
373,ERGINA Lee Eigran,PHI,,,,,,,,,,,,,,,,,,1.5,0.0,1.5
374,ZAMKOVOJS Daniils,LAT,,,,,,,,,,,,0.0,,,,,1.5,,,1.5
375,THEODOROPOULOS Panagiotis,GRE,,,,,,,,,,,,,,,,,1.5,,0.0,1.5
376,ZHAO Zidong,CHN,,,,,,,0.0,,,,,0.0,1.5,,,,,,,1.5
377,ABZHANOV Nurzhan,KAZ,,,,,,,,,,,0.0,,1.5,,,,,,,1.5
378,TOLASOV Vladimir,RUS,,,,,,,,0.0,1.5,,,,,,,,,,,1.5
379,LUKIN Bogdan,KAZ,,,,,,,,0.25,0.375,0.0,0.25,0.375,,0.25,,,,,,1.5
380,MEZINGER Marton,ROU,1.0,,,,,,,,,,,0.375,,,,,,,,1.375
381,BRANDBERG Hugo,SWE,,,,,,,,,,0.25,0.25,,,0.25,,,0.0,,0.625,1.375
382,DUCHENE Noam,FRA,,,,,,,,,,,,0.75,0.375,0.25,,,,,,1.375
383,WALACH Wiktor,POL,,,,,,,0.5,0.25,,0.25,,0.375,,,,,,,,1.375
384,NG Ting Hin,HKG,,,,,,,0.25,0.25,0.375,0.25,0.25,,,0.0,,,,,,1.375
385,TIMOSHENKO Kirill,GER,,1.0,0.25,,,,,,,0.0,,,,,,,,,,1.25
386,VARONE Federico,ITA,,,,0.25,,,,,,,1.0,,,,,,,,,1.25
387,MCCLELLAND Darcy,AUS,0.25,0.0,0.0,,,,,,0.75,,0.25,,,,,,,0.0,0.0,1.25
388,LEPORATI Ettore,ITA,,,0.0,,,,,,0.375,0.0,,0.375,,0.5,,,,,,1.25
389,XIAO Han Zhi Shawn,CAN,,,,,,,0.5,,,,,0.0,0.75,,,,,,,1.25
390,LIM Julien Kenneth,CAN,,,,,,,0.25,,,,,0.0,0.75,0.25,,,,,,1.25
391,HUANG Fohei,MAC,,,,,,,,,,,,,,,,,,,1.25,1.25
392,PETERSON Nolan,NZL,,,,,,,0.0,,,,,,,0.0,,,,,1.25,1.25
393,NICOLI Pietro,ITA,0.25,,0.5,,,,,,,,,0.375,,,,,,,,1.125
394,RODRIGUEZ ACEYTUNO Diego,ESP,,,,,,0.0,,0.25,,0.25,,0.375,,0.25,,,,,,1.125
395,TOBIAS Erik,EST,,,,,,0.0,,0.5,,0.25,,0.375,,,,,,,,1.125
396,ALHUSSAIN Ahmad Abbas I.,KSA,,,,,,,,0.0,0.75,,,0.375,,,,,,,,1.125
397,SUGIOKA Mizuki,JPN,,,,,,,,0.5,0.375,0.25,,,,,,,,,,1.125
398,IMBERT Etienne,FRA,,,,,,,,,,,,0.375,0.75,0.0,,,,,,1.125
399,DELEVACQUE Maxime,FRA,,1.0,0.0,,,,,,,,,,,,,,,,,1.0
400,STOICA Alexandru,ROU,1.0,,,,,,,,,,,,,,,,,,,1.0
400,IOGNA PRAT Luca,ITA,,,,1.0,,,,,,,,,,,,,,,,1.0
400,DI STEFANO Tancredi Luigi Alfio,ITA,,,,,,1.0,,,,,,,,,,,,,,1.0
403,WALLISER Edoardo,ITA,,,,,,1.0,,,,,,,,,,,,,,1.0
404,TAMOSIUNAS Mindaugas,LTU,,,,0.0,0.5,0.0,,,,0.25,,,,0.25,,,0.0,,0.0,1.0
405,RAMI ROZPIDE Rayan,ESP,,,,,,0.5,,,,0.25,,,,0.25,,,,,,1.0
406,ANTAL Mate,HUN,,,,0.25,,,,,,,,0.75,,,,,,,,1.0
407,TROFYMENKO Pavel,UKR,,,0.0,0.0,,,,1.0,,,,,,,,,,,,1.0
408,KARAPYSH Arseniy,UKR,,,0.0,0.0,,0.0,,,,,1.0,,,,,,,,,1.0
409,RUPPENTHAL Julius,GER,,0.0,0.0,,,,,,,,1.0,,,0.0,,,,,,1.0
410,REMONDINI Dario,ITA,,,,,0.0,,,,,,1.0,,,,,,,,,1.0
411,HU Lucas,CAN,,,,,,,1.0,,,,,,,,,,,,,1.0
412,BOBROV Ilian,EST,,,,,,,1.0,,,,,,,,,,,,,1.0
413,PITTET Alexandre,SUI,,,,,,,,,,,,,,1.0,,,,,,1.0
414,LOPEZ POURTIER Nelson,FRA,,,,,,,1.0,,,,,,,,,,,,,1.0
415,STRONG Sean,USA,,,,,,,,,,,0.25,0.75,,,,,,,,1.0
416,SAMYN Ward,BEL,,0.0,,,,,,,0.375,0.0,0.25,0.375,,,,,,,,1.0
417,LEE Yuet Sun,HKG,,,,,,,,0.0,0.375,0.25,,0.375,,,,,,,,1.0
418,SEINI Leandro,BRA,,,,,,,,,,,,,0.375,,,,,,0.625,1.0
419,OXHOLM WAGNER Alec,DEN,0.5,0.0,,,0.0,,,,,0.0,,0.375,,,,,,,,0.875
420,OROIAN Alex,ROU,0.5,,,,,,,,,,,0.375,,,,,,,,0.875
421,HORVATH Mark,HUN,,,,0.5,,,,,,,,0.375,,,,,,,,0.875
422,GRUNERT Adrian,SVK,,,,0.25,,0.25,,,,,,0.375,,,,,,,,0.875
423,BERRY Tobias,GBR,,,0.25,,,0.0,,,0.0,,,0.375,,0.25,,,,,,0.875
424,COLLING Herve,LUX,0.0,0.25,,,0.0,,,,,0.0,,,,0.0,,,0.0,,0.625,0.875
425,PRINZ Niklas,LUX,,0.0,,0.0,,,0.25,,0.375,0.0,0.25,,,0.0,,,0.0,,,0.875
426,ARIAS Julio,PAN,,,,,,,0.25,,,,,,0.375,0.25,,0.0,,,,0.875
427,JIMENEZ ORTIZ Aaron Jose,ESP,,,,,,0.0,,,,,,0.375,,0.5,,,,,,0.875
428,KULCSAR Viktor,HUN,,,,,,,0.5,,,,,,0.375,,,,,,,0.875
429,KIYOTANE Yoshihide,JPN,,,,,,,,,,,0.5,0.375,0.0,0.0,,,,,,0.875
430,NAKAMOTO Naoshi,JPN,,,,,,,,0.0,0.375,0.25,0.25,,,,,,,,,0.875
431,KASSEN Angsar,KAZ,,,,,,,,,,0.25,0.25,0.375,,0.0,,,,,,0.875
432,ELLIS Yehia,MAR,,,,,,,0.0,0.25,0.0,0.25,,,0.375,,,,,,0.0,0.875
433,GOLOBIC Jan,SLO,0.25,,,0.5,,,,,,,,0.0,,,,,,,,0.75
434,TRAORE CARRE Tiyram,FRA,,0.25,0.5,,,,,,,,,,,,,,,,,0.75
435,KYKKANEN Robert,FIN,,,,0.0,0.25,,,0.25,0.0,0.25,,,,,,,,,,0.75
436,FILEK Ireneusz,POL,0.25,,,,,,,0.5,,0.0,,0.0,,,,,,,,0.75
437,TRADARDI Eugenio,ITA,,,0.25,,,,,0.5,,,,,,,,,,,,0.75
438,SPIEGEL Robert Casper,AUT,0.0,0.0,,,0.25,,,,,0.25,,0.0,,0.25,,,,,,0.75
439,PIEPER Jesse,NED,0.25,0.0,,,,,,,,0.25,,0.0,,0.25,,,,,,0.75
440,COOPER Matthew,GBR,,,0.0,,,,,,,,,,0.75,,,,,,,0.75
441,DEL CID Jose,GUA,,,,,,,,,,,,,0.75,,,0.0,,,,0.75
442,HSIEH JAROV Seraphim,CAN,,,,,,,0.0,0.5,,0.25,,,,0.0,,,,,,0.75
443,FAYZIEV Ahmadjon,UZB,,,,,,,,0.0,0.75,0.0,0.0,,,0.0,,,,,,0.75
444,ZHANG Nicholas,CAN,,,,,,,0.5,0.25,,,,,,,,,,,,0.75
445,KELPE Bendix,GER,,,,,,,0.0,,,0.25,,0.0,,0.5,,,,,,0.75
446,HUANG Zhongming,CHN,,,,,,,0.0,0.5,,0.25,,,,,,,,,,0.75
447,PARAFINIUK Lukasz,POL,,,,,,,,0.25,,,0.5,,,,,,,,,0.75
448,HASSAN Sultan,KUW,,,,,,,,0.0,,,,0.75,,,,,,,,0.75
449,YI Yohan Pagel,KOR,,,,,,,,,0.75,,,,,,,,,,,0.75
450,LIU ZiCheng Andy,CAN,,,,,,,0.25,0.5,,,,,,,,,,,,0.75
451,COHEN GILAD YEHODA,ISR,,,,,,,,,,,,0.75,,,,,,,,0.75
452,DOMINICI Raphael,FRA,,,,,,,,,,,,0.375,0.375,,,,,,,0.75
453,ALFIHANI Ahmed,KSA,,,,,,,0.0,0.0,0.375,0.0,,0.375,,0.0,,,,,,0.75
454,BARTKO Levente,HUN,0.25,,,,,,,,,,,0.375,,,,,,,,0.625
455,LEISER Rico,GER,,0.25,,,,,,,0.375,0.0,,0.0,,,,,,,,0.625
456,STABNIKOV Oleksandr,UKR,,,,0.25,,,,,,,,0.375,,,,,,,,0.625
457,OMONT Benoit,LUX,,0.0,0.0,,,,,0.0,,0.25,,0.375,,0.0,,,0.0,,,0.625
458,FERIR William,BEL,,0.0,,,,,,,,0.25,,0.375,,,,,,,,0.625
459,CSABAI Mate,HUN,0.0,,,0.0,,,,0.25,,0.0,,0.375,,,,,,,,0.625
460,STOYCHEV Radoslav,BUL,0.0,,,,,,,,0.375,0.0,0.0,0.0,,0.25,,,,,,0.625
461,MELO Xavier,POR,,,,,,,,,,,,,,0.0,,,0.0,,0.625,0.625
462,SRBINOSKI Petar,MKD,,,,,,,,,,,,,,,,,0.0,,0.625,0.625
463,BUNDALESKI Ognen,MKD,,,,,,,,,,,,,,,,,0.0,,0.625,0.625
464,MATEOS GARCIA Marco,ESP,,,,,,0.0,,,,,,0.375,,0.25,,,,,,0.625
465,BINDAS Odinn,FRA,,,,,,,,,,,,0.375,,0.25,,,,,,0.625
466,AEBERSOLD Alban,SUI,,,,,,,,,,,0.0,,0.375,0.25,,,,,,0.625
467,LOMELI Victor,MEX,,,,,,,0.0,,,,,,,,,,,,0.625,0.625
468,LOHSAKUL Phutaneth,THA,,,,,,,,,,,,,,,,,,,0.625,0.625
469,HAZAZI Ahmed,KSA,,,,,,,,,,,,,,0.0,,,,,0.625,0.625
470,LUMINEAU Tristan,GBR,,,,,,,0.0,,0.375,,,0.0,,0.25,,,,,,0.625
471,WONG Chi Ho,HKG,,,,,,,0.25,,,,,0.375,,,,,,,,0.625
472,SANCHEZ-LETHEM Paul James,GBR,,,,,,,,,,0.0,,0.375,,0.25,,,,,,0.625
473,SUN QI Cevin,SGP,,,,,,,,0.0,0.375,0.25,,,,,,,,,,0.625
474,ABDELBAKY. A Amr,EGY,,,,,,,,0.25,0.375,,0.0,,,,,,,,,0.625
475,GRUNHAUSER Richard,BRA,,,,,,,,,,,,,,,,,,,0.625,0.625
476,ALAALI Sami,FIN,,,,,,,,,,0.0,,,,,,,,,0.625,0.625
477,EDELMANN Julius,NOR,,0.0,,,0.5,,,,,,,,,,,,,,,0.5
478,BUREZ Olivier,BEL,,0.5,,,,,,,,,,,,,,,,,,0.5
479,DEGORCE Aurelien,GBR,0.5,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,,,,,,0.5
