Rank,Name,Nat.,20/09 Reykjavik (SA),27/09 Gand (SA),11/10 Nuremberg (SA),18/10 Istanbul (SA),25/10 Sofia (SA),07/11 Alger (A),04/12 Orléans (GP),09/01 Tunis (GP),22/01 Salt Lake City (A),27/03 Tashkent (A),17/04 Athènes (A),02/05 Incheon (GP),22/05 Lima (A),03/06 Abidjan (CHZ),16/06 Antony (CHZ),16/06 Lima (CHZ),20/06 Delhi (CHZ),23/07 Hong Kong (CHM),Total points
237,PRIKHODKO Tatyana,KAZ,,,,,,,,1.5,,0.5,0.5,0.0,,,,,,,2.5
238,KIM Dohee,KOR,,,,,,,,,,1.0,,1.5,,,,,,,2.5
239,TALLADA Karina,RUS,,,,,,,,,,,,1.5,1.0,,,,,,2.5
240,PITHAKDUANGKAMOL Poonyanuch,THA,,,,,,,,,,,,0.0,,,,,,2.5,2.5
241,CHIANG Enli,NED,2.0,0.25,,,,,,,,,,,,,,,,,2.25
242,NITSCHMANN Tiziana,GER,,0.0,1.0,,,1.0,0.0,0.0,,,0.25,,,,,,,,2.25
243,CIARAGLIA Sofia,ITA,,,2.0,,,,,,,,,,,,,,,,2.0
244,GEORGIEVA Mariela,BUL,,,,0.25,0.25,,1.5,0.0,,,,,,,,,,,2.0
245,RAHACHEUSKAYA Katsiaryna,BLR,,,,,,0.5,0.0,1.5,,,,,,,0.0,,,,2.0
246,LAURI Keira,USA,,,,,,,,,2.0,,,0.0,,,,,,,2.0
247,FIDRY Maele,FRA,,,,,,0.5,1.5,,,,,,,,,,,,2.0
248,CHIARELLI Valentina,USA,,,,,,,,,0.5,1.0,0.5,,,,,,,,2.0
249,CSONKA Dorottya,HUN,,,,,,,1.5,,,,0.5,,,,,,,,2.0
250,YAMAZAKI Hinano,JPN,,,,,,,0.0,0.0,,,0.25,0.75,1.0,,,,,,2.0
251,KOBER Josephine,GER,,1.0,0.25,,,,0.0,,,,0.5,,,,,,,,1.75
252,FERNANDEZ Martina,USA,,,,,,,,,1.0,,,0.75,,,,,,,1.75
253,JEON Eunhye,KOR,,,,,,,,,,,0.25,1.5,,,,,,,1.75
254,WANG Callie,USA,,,,,,,,,0.25,,,1.5,,,,,,,1.75
255,ALMASRI Ruba,KSA,,0.0,,0.5,,0.5,0.0,0.0,,0.0,0.0,0.0,0.5,,,,,,1.5
256,SEZILLE Hui Xin,GBR,,0.25,0.25,,,,0.75,,,,0.25,,,,0.0,,,,1.5
257,HERBON Cisanne,GER,,0.0,0.25,,,,,,,0.5,,0.75,,,,,,,1.5
258,SZANISZLO Dorottya,HUN,,,0.25,,,,,0.75,,,0.0,,0.5,,,,,,1.5
259,POTTER Sophia,GBR,,0.25,0.0,,,,0.0,,,,0.0,,,,,,,1.25,1.5
260,WEBER Christine,GER,,0.0,0.0,,,,0.75,,,0.5,0.25,,,,,,,,1.5
261,JOHNSON Honor,USA,,,,,,,,1.5,0.0,,,0.0,,,,,,,1.5
262,SEON Eunbi,KOR,,,,,,,,,,,,1.5,,,,,,,1.5
263,HONG Haeun,KOR,,,,,,,,,,,,1.5,,,,,,,1.5
264,MCKEE Brynnley,USA,,,,,,,,,0.5,,,,1.0,,,,,,1.5
265,LAU Wing Yi,HKG,,,,,,,0.0,,1.0,,,0.0,0.5,,,,,,1.5
266,SIT Summer Jane,HKG,,,,,,,,,0.0,,,1.5,,,,,,,1.5
267,LEE Seul,KOR,,,,,,,,,,,,1.5,,,,,,,1.5
268,YANG Yesol,KOR,,,,,,,,,,,,1.5,,,,,,,1.5
269,HUAI Delilah,USA,,,,,,,0.75,,0.5,,0.25,,0.0,,,,,,1.5
270,PATRICE Aurore,FRA,,,,,,,0.375,,,,,,1.0,,,,,,1.375
271,SUTTON Maya,GBR,,0.25,0.0,,,,0.75,,,,0.25,,,,,,,,1.25
272,DUMITRU Catinca,ROU,,,,,,0.25,,,1.0,,,,,,0.0,,,,1.25
273,LEOU Korina,USA,,,,,,,,,0.25,1.0,0.0,,,,,,,,1.25
274,ALEXE Maria,ROU,,,,,,,,,0.0,,0.25,,1.0,,,,,,1.25
275,FERRER FERRER Orquidia De La Caridad,CUB,,,,,,,,,,,,,,,,,,1.25,1.25
276,CHEN Ashley,CAN,,,,,,,0.75,,0.0,,,,0.5,,,,,,1.25
277,PEER Naama,ISR,1.0,,,,0.0,,,,,,,,,,,,,,1.0
278,LUNDGREEN Olivia,DEN,1.0,0.0,0.0,,,,0.0,0.0,,,,,,,0.0,,,0.0,1.0
279,JONSDOTTIR Karitas,ISL,1.0,,,,,,,,,,,,,,,,,,1.0
280,ABAY Kyle,GBR,1.0,,0.0,,,,,,,,,,,,,,,,1.0
281,WULLUS Carmen,FRA,,1.0,,,,,0.0,,,,,,,,,,,,1.0
282,PAK Kaitlyn,USA,,,,,,,,,1.0,,,,,,,,,,1.0
283,SIDZELNIKAVA Uladzislava,BLR,,,,,,1.0,,,,,,,,,,,,,1.0
284,FESTA Carina,USA,,,,,,,,,1.0,,,,,,,,,,1.0
285,BABANDO Mathilde,FRA,,,,,,,0.0,,,,,,1.0,,,,,,1.0
286,ISSABEKOVA Dilyara,KAZ,,,,,,,,0.0,,1.0,0.0,,,,,,,,1.0
287,DJAMIRZE Zara,AUS,,,,,,,,,1.0,,,,,,,,,,1.0
288,KO Polina,KAZ,,,,,,,,,,0.0,1.0,,,,,,,,1.0
289,MACKAY Katherine,USA,,,,,,,,,1.0,,,,,,,,,,1.0
290,KWON Hannah,USA,,,,,,,,,,,1.0,0.0,,,,,,,1.0
291,CHEN Ying,CHN,,,,,,,0.0,,1.0,0.0,,,,,,,,,1.0
292,VALLATTUPARAMBIL SUNNY Alka,IND,,,,,,,,,,0.0,1.0,,,,,,,,1.0
293,ZHU Ranling,CHN,,,,,,1.0,,,,,,,,,,,,,1.0
294,BENDE Barbara,HUN,,,,,,,,,,,1.0,,,,,,,,1.0
295,JEON Yuju,KOR,,,,,,,,,,,1.0,,,,,,,,1.0
296,LEE Hanah,KOR,,,,,,,,,0.25,,,0.75,,,,,,,1.0
297,PORADA Zuzanna,POL,,,,,,,0.375,,0.0,,0.5,,,,,,,,0.875
298,SERBANOIU Andreea,ROU,,,,,0.5,0.0,0.0,,,,0.25,,,,,,,,0.75
299,YUCEL Emine Irmak,TUR,,0.25,,0.25,,,0.0,,0.25,,,,0.0,,,,,,0.75
300,KERKESER Maya,TUR,,,,0.0,,0.0,0.75,,,,,,,,,,,,0.75
301,OVESIA Anna,ROU,,,,,0.0,,0.75,,,,,,,,,,,,0.75
302,YANG Shuhan,HKG,,,,,,,,,,,,0.75,,,,,,,0.75
303,JANG Jiwon,KOR,,,,,,,,,,,,0.75,,,,,,,0.75
304,ZHOU Tianyi,CHN,,,,,,,,,,,,0.75,,,,,,,0.75
305,JIMENO MORA Lucia,ESP,,,,,,,0.75,,,,,,,,,,,,0.75
306,LI Jia Ying,CAN,,,,,,,,,0.5,,0.0,0.0,0.25,,,,,,0.75
307,SKONIECZNA Daria,POL,,,,,,0.0,0.75,,,,0.0,,,,,,,,0.75
308,BOGNAR Liza,HUN,,,0.0,,,,0.375,0.0,,,0.25,,,,,,,,0.625
309,GIOVANNELLI Amelia,ITA,,,0.5,,,,,,,,,,,,,,,,0.5
310,TAN Kai Li Christine,SGP,,0.0,,0.5,,,,,,,,,,,,,,0.0,0.5
311,SUZANNE Coline,FRA,,0.5,,,,,0.0,,,,,,,,,,,,0.5
312,LUTEA Tania,ROU,,,,,0.5,,,,,,,,,,,,,,0.5
313,KEREM Zehra,TUR,,,,0.5,,,,,,,,,,,,,,,0.5
313,COURT Lucie,FRA,,0.5,,,,,,,,,,,,,,,,,0.5
315,CERRO JIMENEZ Marta,ESP,,0.0,,,0.5,0.0,0.0,0.0,,,,,,,,,,,0.5
316,VITLIEMOVA Viktoria,BUL,,,,0.25,0.25,,0.0,,,,,,,,,,,,0.5
317,SU Ruoshui,GER,,0.0,0.25,,,,,,,,0.25,,,,,,,,0.5
318,O'REILLY Hannah,GBR,,0.0,0.25,,,,0.0,,,,0.25,,,,,,,,0.5
319,HAACK Mirja-Lena,GER,,0.0,0.0,,,,,,,,,,0.5,,,,,,0.5
320,MITRUS Alexandra,ROU,,,,,0.0,,,,,,0.5,,,,,,,,0.5
321,KANETAKA Seisa,JPN,,,,,,0.0,0.0,0.0,0.5,,,0.0,,,,,,,0.5
322,CARVALHO Isabela,BRA,,,,,,,,,0.5,,,,,,,,,,0.5
323,KIM Zoe,USA,,,,,,,,,,,,,0.5,,,,,,0.5
323,XU Yiyun,CHN,,,,,,,,,,0.5,,,,,,,,,0.5
325,SKARBONKIEWICZ Magda,USA,,,,,,,,,0.5,,,,,,,,,,0.5
326,UTEBAEVA Nargiza,UZB,,,,,,,,,,0.5,,,,,,,,,0.5
327,GU Jiarong,CHN,,,,,,0.5,,,,,,,,,,,,,0.5
328,MALGREM Klaudia,POL,,,,,,,0.0,,,0.0,0.5,,,,,,,,0.5
329,MISHAKINA Polina,RUS,,,,,,0.5,,,,,,,,,,,,,0.5
330,LOU Xiyi,CHN,,,,,,,,,,0.5,,,,,,,,,0.5
331,SHTREVENSKY Maria,CAN,,,,,,,,,0.0,,,,0.5,,,,,,0.5
332,VENTURA Eva,ESP,,,,,,0.5,,,,,,,,,,,,,0.5
333,SAIDULLAYEVA Nargiz,KAZ,,,,,,,,0.0,,,0.5,,,,,,,,0.5
334,FOX-GITOMER Chloe,USA,,,,,,,,,0.5,,,,,,,,,,0.5
335,CARAFA Gaia Karola,ITA,,,,,,,,,,,0.5,,,,,,,,0.5
336,BEVACQUA Aria,USA,,,,,,0.5,,,0.0,,,,,,,,,,0.5
337,MOHAMED Jana,EGY,,,,,,,,,0.5,,,,,,,,,,0.5
338,NOVIKOVA Sofia,RUS,,,,,,,,,,,,,0.5,,,,,,0.5
339,ZOU Yelin,AUS,,,,,,,0.375,,,,,,,,,,,,0.375
340,CHEN Xiaohan,CAN,,,,,,,0.375,,0.0,,,,,,,,,,0.375
341,GADZHEVA Ralitsa,BUL,,,,,0.25,,0.0,,,,0.0,,,,,,,,0.25
342,DAYKIN Kate,GBR,,0.25,,,,,0.0,,,,,,,,,,,,0.25
343,PAPAI Viktoria Zoe,HUN,,,0.25,,,,0.0,,,,,,,,,,,,0.25
344,ONONAIYE Tosin,GBR,,0.25,0.0,,,,,,,,,,,,,,,,0.25
345,ANTONOVA Maya,BUL,,,,0.25,0.0,,,,,,,,,,,,,,0.25
346,CAYRE Juliette,FRA,,0.25,,,,,,,,,,,,,,,,,0.25
347,SCHLAFFER Dorothea,GER,,0.25,0.0,,,,,,,,,,,,,,,,0.25
348,CORCORAN Erin,GBR,,0.0,0.25,,,,,,,,,,,,,,,,0.25
349,ALKAYA Begum,TUR,,,,0.25,,,,,,,,,,,,,,,0.25
349,HRISTOVA Dora,BUL,,,,,0.25,,,,,,,,,,,,,,0.25
351,ALHAMMAD Alhsna,KSA,,,,0.25,,,,,,,,,,,,,,,0.25
351,DEBES Marie,FRA,,0.25,,,,,,,,,,,,,,,,,0.25
353,LUCARINI Lucia,ITA,,,,,0.25,,,,,,,,,,,,,,0.25
353,IVANOVA Borislava,BUL,,,,0.25,,,,,,,,,,,,,,,0.25
355,REZI Luisa,GER,,0.25,0.0,,,,,,,,,,,,,,,,0.25
356,DING Lilac,USA,,0.0,,,0.25,,,,,,,,,,,,,,0.25
357,OZTURK Ece,TUR,,,,0.25,,,,,,,,,,,,,,,0.25
358,THOME Marie,GER,,0.0,0.25,,,,,,,,,,,,,,,,0.25
359,SEZER Yasmin,ROU,,,,,0.25,,,,,,,,,,,,,,0.25
359,KABAKCI Ayse,TUR,,,,0.25,,,,,,,,,,,,,,,0.25
361,DAVIES Ava,GBR,,0.0,0.25,,,,0.0,,,,,,,,,,,,0.25
362,BREER Jana,GER,,0.0,0.0,,0.25,,0.0,,,,,,,,,,,,0.25
363,SISIK Pinar Miray,TUR,,,,0.25,,,,,,,,,,,,,,,0.25
363,FEREDAY Emily,GBR,,0.25,,,,,,,,,,,,,,,,,0.25
365,VERES Amarilla,HUN,,0.0,,0.25,,,,,,,,,,,,,,,0.25
366,CORLATESCU Sofia,ROU,,,,,0.25,,,,,,,,,,,,,,0.25
367,TORREZ GARCIA Emily,VEN,,,,,,,,,,0.0,,,0.25,,,,,,0.25
368,KIM Jamie,CAN,,,,,,,,,0.0,,,0.0,0.25,,,,,,0.25
369,ARTSIUSHENKA Viktoria,BLR,,,,,,0.25,,,,,,,,,,,,,0.25
370,CHUNG Hailey Jiin,CAN,,,,,,,,,0.25,,,,,,,,,,0.25
371,PONICH Marissa,CAN,,,,,,,,,,,0.0,,0.25,,,,,,0.25
372,ZHANG Xuanyi,USA,,,,,,,,,0.25,,,,,,,,,,0.25
373,CHOI Charlotte,USA,,,,,,,,,0.25,,,0.0,,,,,,,0.25
374,MALEK Zolie,USA,,,,,,,,,0.25,,,,,,,,,,0.25
375,GOTO Chisato,JPN,,,,,,,,,,,0.25,,,,,,,,0.25
376,HOLOVKINA Sofia,UKR,,,,,,,,,,,0.25,,,,,,,,0.25
377,LUKASSE Hannah,NED,0.0,0.0,,,,,,,,,,,,,,,,,0.0
378,GUNNARSDOTTIR SMITH Anna Edda,ISL,0.0,,,,,,,,,,,,,,,,,,0.0
379,TANOH Aurore Marie,CIV,,,,,,,,,,,,,,0.0,,,,,0.0
380,LORNG yéble Marie Sabine,CIV,,,,,,,,,,,,,,0.0,,,,,0.0
381,ALKUDMANI Talene,KSA,,,,0.0,,,,,,,,,,,,,,,0.0
382,WEILAND Mia,GER,,0.0,0.0,,,,,,,,,,,,,,,,0.0
383,VLASEVA Iva,BUL,,,,0.0,0.0,,,,,,,,,,,,,,0.0
384,MEDARSKA Sofia-Aleksandra,BUL,,,,0.0,0.0,,,,,,,,,,,,,,0.0
385,KOHL Polina,GER,,0.0,0.0,,,,,,,,,,,,,,,,0.0
386,DUVAN Deniz,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
386,MENTZ Eva,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
388,MILANOVA Kristina,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
388,PORTAKAL Zeliha,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
390,LITSOVA Mia,BUL,,,,0.0,0.0,,,,,,,,,,,,,,0.0
391,NICOLAI Alessandra,ITA,,,0.0,,,,,,,,,,,,,,,,0.0
391,ARSLAN Elizan Tuana,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
391,TERZIYAN Vaya,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
394,ZAGYAPAN Maya,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
395,TIU Arianna Victoria,PHI,,,,,,,,,,,,,,,,,0.0,0.0,0.0
396,DUVAN Irmak,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
396,CHAUSHEVA Ekaterina,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
398,SOJOVSKA Jana,CZE,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0
399,GALINDO Maria Karina,PER,,,,,,,,,,,,,0.0,,,0.0,,,0.0
400,SAZANJIAN Najmeh,IRI,,,,,,,,,,,,,,,,,0.0,,0.0
400,KUREK Berra,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
402,NEUNER Elyza,GER,,0.0,0.0,,,,,,,,,,,,,,,,0.0
403,NG Vivien Wai Yan,MAS,,,,,,,,,,,,,,,,,0.0,0.0,0.0
404,DE LA CRUZ Maiber Criselis,DOM,,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0
405,BAYRAK Irem Melek,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
405,NUTA Emilia,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
405,BERRY Emily,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
408,CANAL Darma,PER,,,,,,,,,,,,,0.0,,,0.0,,,0.0
409,VELA DE PANDO Marta,ESP,,0.0,,,,,,,,,,,,,,,,,0.0
409,CO SAY Meagan Elizabeth,PHI,,,,,,,,,,,,,,,,,0.0,,0.0
409,NARLIYSKA Eva,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
412,CİCEK Ecem,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
412,LOHBAUER Ivy,GER,,,0.0,,,,,,,,,,,,,,,,0.0
412,SELLAMI Baptistine,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
412,DOBREVA Nikoleta,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
412,IDRIS Syahirah,BRU,,,,,,,,,,,,,,,,,0.0,,0.0
412,CHRISTIE Erika,BOL,,,,,,,,,,,,,,,,0.0,,,0.0
418,MARX Maja,GER,,0.0,0.0,,,,,,,,,,,,,,,,0.0
419,BARRERA Aurora,GUA,,,,,,,,,,,,,,,,0.0,,,0.0
419,UNLU Ece,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
419,PRIYASHANI Hansi,SRI,,,,,,,,,,,,,,,,,0.0,,0.0
422,TUDELA Maria Fernanda,PER,,,,,,,,,,,,,0.0,,,0.0,,,0.0
423,BOBES Eva,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
423,YILDIRIM Elif Derin,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
423,KRASTEVA Vasilena,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
426,MCGLINCHEY Saoirse,IRL,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0
427,YAÑEZ MARIA SOL,PER,,,,,,,,,,,,,0.0,,,0.0,,,0.0
428,SCHEIBKE Marla,GER,,,0.0,,,,,,,,,,,,,,,,0.0
429,VASQUEZ Trinidad,CHI,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0
430,MANSO Constanza,CHI,,,,,0.0,0.0,,,,,,,0.0,,,,,,0.0
431,ANDURAY Lorena Sarai,HON,,,,,,,,,,,,,,,,0.0,,0.0,0.0
432,IRIARTE Briana,BOL,,,,,,,,,,,,,,,,0.0,,,0.0
432,ORONOVA Hristina,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
432,BRIERLEY Bethany,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
432,ALMUAMMAR Ahad,KSA,,,,0.0,,,,,,,,,,,,,,,0.0
436,BRAY Jenna,GBR,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0
437,GULERER İlayda Linda,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
438,ROMERO AREVALO Alejandra Maria,ESA,,,,,,,,,,,,,0.0,,,0.0,,,0.0
439,VOYTOVA Viktoria,GER,,,0.0,,,,,,,,,,,,,,,,0.0
439,SONMEZ Asuman Ece,TUR,,,,0.0,,,,,,,,,,,,,,,0.0
441,NIKOLOVA Monika,BUL,,,,0.0,0.0,,,,,,,,,,,,,,0.0
442,SANTA MARIA Marjorie,GUA,,,,,,,,,,,,,,,,0.0,,,0.0
442,OARGA Teodora,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
442,GRAUDINS Gunilla,GER,,,0.0,,,,,,,,,,,,,,,,0.0
445,KAVELI Evangelia Martha,GRE,,,,,0.0,,,,,,,,,,,,,,0.0
445,CLARA Emilia,GER,,,0.0,,,,,,,,,,,,,,,,0.0
445,KALOYANOVA Ana Yoana,BUL,,,,0.0,,,,,,,,,,,,,,,0.0
448,FEODOR Iris,ROU,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
449,STEFANOVA Plamena,BUL,,,,0.0,0.0,,,,,,,,,,,,,,0.0
450,ANDERSON Lauren,GBR,,0.0,0.0,,,,,,,,,,,,,,,,0.0
451,AZIZ-PICARDET Eva,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
451,DINKEL Theresa,GER,,,0.0,,,,,,,,,,,,,,,,0.0
453,SAUSSINE Justine,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
453,ALEXANDRESCU Theodora,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
455,KOTLANOVA Erika,CZE,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0
456,GKOUNTOURA Theodora,GRE,,,,,,,,,,,,,,,0.0,,,,0.0
456,ATANASOVA Eva,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
458,MISHINEVA Natali,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
458,LEWIS Nina,GBR,,,0.0,,,,,,,,,,,,,,,,0.0
460,MORENO Karen,CHI,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0
461,LYTINA Ekaterini,GRE,,,,,,,,,,,0.0,,,,0.0,,,,0.0
462,MIHAILOVIC Amanda,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
462,GEATARA Adriana,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
462,MIX Esther Marie,GER,,,0.0,,,,,,,,,,,,,,,,0.0
465,NAGY Krisztina,HUN,,0.0,0.0,,,,,,,,,,,,,,,,0.0
466,SAUNDERS Nicole,GBR,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,0.0
467,HOFMAN Henriette,NED,,0.0,,,,,,,,,,,,,,,,,0.0
467,MITRUS Andreea,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
469,LIU Kathryn,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
469,JAEHRING Caroline,GER,,,0.0,,,,,,,,,,,,,,,,0.0
469,APOSTOLOVA Marina,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
472,LIKAJ Giada,ITA,,,0.0,,,,,,,,,,,,,,,,0.0
473,NIELSSON Marie,DEN,,0.0,,,0.0,,,,,,,,,,,,,,0.0
474,LEBENICNIK Neja,SLO,,,0.0,,,,,,,,,,,,,,,,0.0
475,DOWD Kirsten,IRL,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0
476,FISCHER Karen,GER,,0.0,,,,,,,,,,,,,,,,,0.0
476,CIRLIGEANU Ema,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
478,PESCARU Amelie,ROU,,,,,0.0,,,,,,,,,,,,,,0.0
478,TYMOKHINA Mariia,UKR,,,0.0,,,,,,,,,,,,,,,,0.0
480,CHAN Natallie Yin Xin,SGP,,0.0,,,,,,0.0,,,,,,,,,,,0.0
481,HEUBEL Charlotte,GER,,,0.0,,,,,,,,,,,,,,,,0.0
482,THOME Nicole,GER,,0.0,0.0,,,,,,,,,,,,,,,,0.0
483,MOLL Lucile,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
484,CHOI Maiya,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
484,MAZZOLA Christina,GER,,,0.0,,,,,,,,,,,,,,,,0.0
484,TSVETKOVA Katerina,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
487,GHOSH Priyanka,USA,,,,,0.0,,,,,,,,,,,,,,0.0
488,HOLECKOVA Sandra Adela,CZE,,,0.0,,,,,,,,,,,,,,,,0.0
488,WAX Frieda,GER,,,0.0,,,,,,,,,,,,,,,,0.0
488,ROS Charlotte,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
488,AROYO Aya,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
492,GENOVA Mihaela,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
493,DELANNOY Alix,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
493,TONEVA Ema,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
495,GENKOVA Desislava,BUL,,,,,0.0,,,,,,,,,,,,,,0.0
496,JOSEPH Thea,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
497,SHIMMIN Clara,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
498,CAMPOAMOR DAVILA CANDELA,ESP,,0.0,,,,,,,,,,,,,,,,,0.0
499,TACK Zoe,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
500,FEREDAY Jessica,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
500,KLARER Romane,FRA,,0.0,,,,,,,,,,,,,,,,,0.0
502,MCDOUGALL Alicia,GBR,,0.0,,,,,,,,,,,,,,,,,0.0
503,BONADONA AUZA Rafaela Luciana,BOL,,0.0,,,,,0.0,,,,,,,,,,,,0.0
504,VERTENTEN Florence,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
505,LORA GOMA Maria,ESP,,0.0,,,,,,,,,,,,,,,,,0.0
505,ABRAS Lucie,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
507,JOHNSTON Caitlin,IRL,,0.0,,,,,,,,,,,,,,,,,0.0
508,VAN PETEGEM Elisa,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
508,D'AUBIOUL Manou,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
510,SERVRANCKX Veronika,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
510,VERDEYEN Anne-Lucie,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
512,VERMEERSCH Lore,BEL,,0.0,,,,,,,,,,,,,,,,,0.0
513,DELA SERNA Kaikaku,PHI,,,,,,,,,,,,,,,,,,0.0,0.0
514,WEI Yutian,HKG,,,,,,,,,,,,0.0,,,,,,,0.0
515,KUZNETSOVA Maria,RUS,,,,,,,,,,0.0,,,,,,,,,0.0
516,CHOI Yeni,KOR,,,,,,,,,,,,0.0,,,,,,,0.0
517,YOUNG Charlotte,USA,,,,,,,,,,0.0,,,,,,,,,0.0
517,PHUNG Thi Khanh Linh,VIE,,,,,,,,,,,,0.0,,,,,,,0.0
519,GUGALA Hanna,USA,,,,,,,,,,0.0,,,,,,,,,0.0
520,SANYA Sanya,IND,,,,,,,,0.0,,,,,,,,,,,0.0
521,JEON Suin,KOR,,,,,,,,,,,,0.0,,,,,,,0.0
521,BEKBAULIEVA Tulkinoy,UZB,,,,,,,,,,0.0,,,,,,,,,0.0
521,REZGUI Yesmine,TUN,,,,,,,,0.0,,,,,,,,,,,0.0
524,BENCHEKOR Naila,ALG,,,,,,0.0,,0.0,,,,,,,,,,0.0,0.0
525,MCROBERT Isobel,AUS,,,,,,,,0.0,0.0,,,0.0,,,,,,0.0,0.0
526,LUI Sum Yi Katy,HKG,,,,,,,,,0.0,,,0.0,,,,,,,0.0
527,CONTRERAS Patricia,VEN,,,,,,,,,,,,,,,,,,0.0,0.0
527,IMRAN Nur Irdina Amani,MAS,,,,,,,,,,,,,,,,,,0.0,0.0
529,HUAYHONGTHONG Poonpatsorn,THA,,,,,,,,,,,,0.0,,,,,,,0.0
530,BOUAJINA Aicha,TUN,,,,,,0.0,,0.0,,,,,,,,,,,0.0
531,SABARATNAM Resha Shaveena,MAS,,,,,,,,,,,,,,,,,,0.0,0.0
532,BELKAHLA Afnane Djaouaher,ALG,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.0
533,WANG Chenyi,CHN,,,,,,,,,,,,0.0,,,,,,,0.0
534,GANIEVA Sevara,UZB,,,,,,,,,,0.0,,,,,,,,,0.0
534,TIN Kayla Sze Jit,AUS,,,,,,,,,,,,,,,,,,0.0,0.0
536,PEN Narita,CAM,,,,,,,,,,,,,,,,,,0.0,0.0
536,KUNASHEVA Malena,RUS,,,,,,,,,,,,0.0,,,,,,,0.0
536,HEZAMI Olfa,TUN,,,,,,,,0.0,,,,,,,,,,,0.0
539,RSALINA Adilya,KAZ,,,,,,,,,,0.0,,,,,,,,,0.0
540,YU Kit,HKG,,,,,,,,,,,,0.0,,,,,,,0.0
541,BEN ISMAIL Kenz,TUN,,,,,,,0.0,0.0,,,,,,,,,,,0.0
542,CHAVAN Arya,USA,,,,,,,,,0.0,0.0,,,,,,,,,0.0
543,KHUSANBOEVA Bibiaisha,UZB,,,,,,,,,,0.0,,,,,,,,,0.0
544,PHAM Thi Thu Hoai,VIE,,,,,,,,,,,,0.0,,,,,,,0.0
545,BHARAD Kashish Deepak,IND,,,,,,,,,,0.0,,,,,,,,,0.0
