Rank,Name,Nat.,")AS(
amanaM
90/60",")AS(
araosimiT
90/12",")AS(
madretsmA
90/82",")AS(
orienaJ
ed
oiR
01/50",")AS(
eropagniS
01/21",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/60",")A(
nasuB
21/50",")A(
gnoK
gnoH
10/90",")PG(
niruT
20/50",")PG(
amiL
30/12",")A(
oriaC
40/71",")A(
lubnatsI
50/10",")PG(
iahgnahS
50/61",")ZHC(
najdibA
60/10",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
222,ISKANDEROVA Alina,KAZ,,,,,,,,,,,,,,0.25,,,,,3.0,0.0,3.25
223,ANDREYENKA Yana,BLR,,,,,,,,0.25,,,,3.0,,,,,,,,,3.25
224,ZHANG Soleil,CAN,,,,,,,,,1.0,1.0,,,,0.5,0.75,,,,,,3.25
225,WU Jiawei,HKG,,,,,,,,0.5,0.25,0.25,,1.5,0.0,0.25,0.75,,,,,,3.25
226,TIE Zhihe,CHN,,,,,,,,0.5,1.0,1.0,,,,,0.75,,,,,,3.25
227,VINAYAKAM PARANJOTHI Kanagalakshmi,IND,3.0,,,,,,,,,,,,,,,,,,,,3.0
228,SILVA Micaela Sofia,ARG,,,,0.5,,,,,,,,0.0,,,,,,,,2.5,3.0
229,FRANZONI Ludovica,ITA,,,,,,0.0,,,,,3.0,,,,,,,,,,3.0
230,PAULUS Sloane Elizabeth,PHI,,,,,,,0.0,,,,,,,,,,,,3.0,,3.0
231,CASSANELLO Valentina,ARG,,,,,,,,,,,0.0,,,,,,3.0,,,,3.0
232,ESPINOZA ROQUEZ Sofia Lara,ARG,,,,,,,,,,,,,,,,,3.0,,,,3.0
233,MORA MATA Marypaz,CRC,,,,,,,,,,,,,,,,,3.0,,,,3.0
234,STALINRAJ Joys Ashitha,IND,,,,,0.0,,,,,,,,,,0.0,,,,3.0,0.0,3.0
235,HORPENCHENKO Viktoriia,UKR,,,,,,0.0,0.0,1.0,,,1.5,,,0.5,,,,,,,3.0
236,ONG Philippa Jean Ziyi,MAS,,,,,,,,,,,,,,,,,,,3.0,,3.0
237,WAIKHOM Sonia Devi,IND,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
238,BTADDINI Isabel,QAT,,,,,,,,,,,,,,,,,,,3.0,,3.0
239,XU Ziyi,CHN,,,,,,,,,,,,,,,3.0,,,,,,3.0
240,JELINSKA Martyna,POL,,,,,,,,,,,1.5,,0.5,1.0,,,,,,,3.0
241,JING Emily,USA,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,3.0
242,CHASOVNIKOVA Stefania,RUS,,,,,,,,,,,,,0.5,1.0,1.5,,,,,,3.0
243,ROSSINI Serena,ITA,,,,,,1.0,0.25,,,,1.5,,,,,,,,,,2.75
244,TAVOLA Alessandra,ITA,,1.0,,,,,,,,,1.5,,,,,,,,,,2.5
245,EISTERT Julia,AUT,,0.25,,,,0.5,0.0,0.25,0.0,,0.0,1.5,0.0,0.0,0.0,,,,,,2.5
246,GAVRILENKO Tamara,GBR,,,0.0,,,,0.0,,,,,,,,,,,,,2.5,2.5
247,CASTILLO-BERNAUS Katie,GBR,,,0.0,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,2.5,2.5
248,LAM Chi Mei,MAC,,,,,,,,,,,,,,,0.0,,,,,2.5,2.5
249,NEKIFOR Erika,HUN,,0.25,0.5,,,0.25,,1.0,,,,,,0.25,0.0,,,,,,2.25
250,BADAR Szonja,HUN,,,,,,0.0,,0.5,,,0.75,,1.0,,,,,,,,2.25
251,EYER Hailey,USA,,,,,,,,,,,0.75,1.5,,,,,,,,,2.25
252,WOJTAS Hanna,POL,,,,,,,,1.0,0.25,0.5,0.375,,,0.0,,,,,,,2.125
253,AL SIYABI Israa,OMA,2.0,,,,,,,,,,,,,,,,,,,,2.0
254,SUNDUCHKOVA Alexandra,RUS,,,,,,,,2.0,,0.0,0.0,,,,,,,,,,2.0
255,CHOI Yujin,KOR,,,,,,,,,2.0,,,,,,,,,,,,2.0
256,ATMACA Alara,TUR,,,,,,,,,,,0.75,,1.0,0.25,,,,0.0,,,2.0
257,GLEBOVA Ksenia,RUS,,,,,,,,,,,,,,2.0,,,,,,,2.0
258,KIM Kiyeun,KOR,,,,,,,,,2.0,,,,,,,,,,,,2.0
259,CHA Eojin,KOR,,,,,,,,,2.0,,,,,,,,,,,,2.0
260,HONG Seo In,KOR,,,,,,,,,0.5,,1.5,,,,,,,,,,2.0
261,MAYERL Lena,AUT,,0.0,,,,0.25,,0.5,0.25,,0.375,,,0.5,,,,,,,1.875
262,SOPIT Svitlana,UKR,,0.5,,,,0.0,,0.0,,,0.75,,,0.5,,,,,,,1.75
263,TANG Daniella Weng Yan,SGP,,,,,0.25,,,0.0,0.0,0.5,0.75,,0.0,0.25,0.0,,,,,,1.75
264,CHO Euran,KOR,,,,,,,,,,0.25,,1.5,,,,,,,,,1.75
265,MURASE Akari,JPN,,,,,,,,,0.25,,0.75,,,,0.75,,,,,,1.75
266,MOHAMMAD FADLY Nabihah Raiedah,SGP,,,,,0.5,,,,,0.25,0.375,,0.5,,0.0,,,,,,1.625
267,FORGACH Rebeka Liliana,SVK,,0.5,,,,1.0,,,,,,,,,,,,,,,1.5
268,RUSTLER Aline,GER,,0.25,,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.25,0.0,,,,,,1.5
269,HOLLAND-CUNZ Luca Sarah,GER,,,0.5,,,,,0.25,0.0,,0.75,,,,,,,,,,1.5
270,CHAULLET Mathilde,FRA,,,0.25,,,,0.5,,0.25,,,,,0.5,,,,,,,1.5
271,SADII Anastasiia,UKR,,,,,,0.0,0.25,0.5,,,0.0,,0.5,0.25,,,,,,,1.5
272,GONCHAROVA Veronika,LUX,,,0.0,,,,0.0,0.5,,,0.75,,,0.25,,,,0.0,,,1.5
273,MAROSI Greta,HUN,,,0.0,,,0.0,,0.0,,,1.5,,,,,,,,,,1.5
274,CHEN Qingyuan,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
275,DZOBAEVA SOFIYA,RUS,,,,,,,,,,,,,1.0,0.5,,,,,,,1.5
276,ZHANG Yixin,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
277,HUANG Yuwen,CHN,,,,,,,,,,,,1.5,,,,,,,,,1.5
278,YANG Emma,USA,,,,,,,,,,,,1.5,,,,,,,,,1.5
279,LI Yitong,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
280,LE CHANJOUR Pauline,FRA,,,,,,,,,,,,1.5,,,,,,,,,1.5
281,GARYFALLOU Stavroula Myrsini,GRE,,,,,,,,,,,1.5,,0.0,,,,,,,,1.5
282,HOHENADEL Celia,GER,,,,,,,,0.0,1.0,0.5,,,0.0,,,,,,,,1.5
283,XU Yundi,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
284,HERWIG Merle,GER,,,,,,,,,0.5,,,,0.5,0.5,,,,,,,1.5
285,WONG Tatiana Yu Rong,SGP,,,0.0,,1.0,,,0.0,0.0,0.0,0.375,,0.0,,0.0,,,,,,1.375
286,TAKAISHVILI Liza,GEO,,0.0,,,,,,1.0,,,0.375,,,,,,,,,,1.375
287,LOCKE Savannah,CAN,,,,,,,,0.5,,0.0,,0.0,,0.5,0.375,,,,,,1.375
288,KIRSCH Anne,GER,,,,,,,,0.5,,0.5,0.375,,,,,,,,,,1.375
289,KOZLOVA Polina,LAT,,,0.25,,,0.25,,,0.0,,0.75,,,,0.0,,,0.0,,,1.25
290,TAJAN Morgane,FRA,,,,,,,0.25,0.0,1.0,,,,,,,,,,,,1.25
291,WONG Lorraine,HKG,,,,,,,,,0.25,1.0,,,,,0.0,,,,,,1.25
292,SAVEANU Anca,ROU,,,,,,,,0.25,,,,,,1.0,,,,,,,1.25
293,ZHOU Xinyao,HUN,,0.25,,,,0.0,,,,,0.375,,,0.5,,,,,,,1.125
294,GARDNER Georgia,GBR,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0
295,CALDERON Ana Sofia,MEX,,,,1.0,,,,0.0,,,,,,0.0,,,,,,,1.0
296,MAJALI Roaa,JOR,1.0,,,,,,,,,,,,,,,,,,,,1.0
297,ALZAMER Leemar,JOR,1.0,,,,,,,,,,,,,,,,,,,,1.0
297,DI RUSSO Guia,ITA,,,1.0,,,,,,,,,,,,,,,,,,1.0
299,ALTAMIMI Hamda,UAE,1.0,,,,,,,,,,,,,,,,,,,,1.0
300,EVRARD Antonia,CHI,0.5,0.0,,0.5,,,,,,,,,,,,,,,,,1.0
301,GAYDOS Sofia,ESP,,,,,,,0.0,0.0,0.5,0.5,,,,,,,,,,,1.0
302,MOHAMED Aida,HUN,,,,,,0.0,,1.0,,,,,,,,,,,,,1.0
303,JOO Yeongji,KOR,,,,,,,,,1.0,,,,,,,,,,,,1.0
304,ZORINA Irina,RUS,,,,,,,,,,,,,1.0,,,,,,,,1.0
305,TAKEZAWA Shiori,JPN,,,,,,,,0.0,,1.0,,,,,,,,,,,1.0
306,CALISE Ella,USA,,,,,,,,,,,,,,1.0,,,,,,,1.0
307,HU Kaiyun,CHN,,,,,,,,,,,,,1.0,,,,,,,,1.0
308,CHUN Ha-Eune Adelle,CAN,,,,,,,,,1.0,,,,,,,,,,,,1.0
309,FAN Bo Yee,HKG,,,,,,,,,,1.0,,,,,0.0,,,,,,1.0
310,LEE Arin,KOR,,,,,,,,,1.0,,,,,,,,,,,,1.0
311,LEUNG Nga Wun,HKG,,,,,,,,,,1.0,,,,,,,,,,,1.0
312,HAN Areum,KOR,,,,,,,,,1.0,,,,,,,,,,,,1.0
313,RECHER Alice,FRA,,,,,,,,1.0,,,,,,,,,,,,,1.0
314,ZHUANG Xinyi,CHN,,,,,,,,1.0,,,,,,,,,,,,,1.0
315,LAI Hei Ching Holly,HKG,,,,,,,,,,1.0,,,,,,,,,,,1.0
316,TEODOSIU Malina,ROU,,,,,,,,0.5,,,,,,0.5,,,,,,,1.0
317,LEUNG Mei Hang,CAN,,,,,,,,,0.0,0.25,,,,,0.75,,,,,,1.0
318,SONG Yuqiao Aprille,CAN,,,,,,,,0.0,0.25,,0.75,,,,,,,,,,1.0
319,SWEENEY Georgette,AUS,,,,,,,,,0.25,,,,,,0.75,,,,,,1.0
320,LIU Hoi Kiu,HKG,,,,,,,,0.25,0.25,0.0,0.0,,0.5,,,,,,,,1.0
321,HERWIG Finja,GER,,,,,,,,,0.25,,0.0,,,0.0,0.75,,,,,,1.0
322,LAM Xin Ying,SGP,,,,,0.5,,,,,0.0,,,,,0.375,,,,,,0.875
323,STEPOVYK Milana,UKR,,0.5,,,,0.0,,,,,0.0,,,0.25,,,,,,,0.75
324,TEODORESCU Maria,ROU,,0.25,0.0,,,0.25,,0.25,,,0.0,,0.0,0.0,,,,,,,0.75
325,POLONYI Petra,HUN,,0.0,,,,0.25,,0.5,,,0.0,,,0.0,,,,,,,0.75
326,DARDE Cyrielle,FRA,,,,,,,0.0,,,,0.75,,,,,,,,,,0.75
327,SILK Georgia,GBR,,,0.0,,,0.0,0.0,,,,0.75,,,,,,,,,,0.75
328,ZHANG Muyang,CHN,,,,,,,,,0.0,,,,,,0.75,,,,,,0.75
329,GOMES Rafaella,BRA,,,,,,,,,,,,0.75,,,,,,,,,0.75
330,XIE Su,CHN,,,,,,,,,,,,0.75,,,,,,,,,0.75
331,KUBOTA Miono,JPN,,,,,,,,,,,0.0,,,,0.75,,,,,,0.75
332,CHAN Hong Cheng,MAC,,,,,,,,,,,,,,,0.75,,,,,0.0,0.75
333,CHUSID Mikayla,USA,,,,,,,,0.25,,0.5,,,,,,,,,,,0.75
334,LEE Lavender,USA,,,,,,,,,,,0.75,,,,,,,,,,0.75
335,GU Maggie Runlin,CAN,,,,,,,,0.5,0.25,0.0,,,,,,,,,,,0.75
336,WONG Shun Yat,HKG,,,,,,,,,0.0,0.0,,,,,0.75,,,,,,0.75
337,CHENG Siyun,CHN,,,,,,,,,,,,,,,0.75,,,,,,0.75
338,LIN Zhi Tong (Bonnie),CAN,,,,,,,,,0.5,0.25,0.0,,,,,,,,,,0.75
339,SEIFFERT Veranika,GER,,,,,,,,0.0,,,0.75,,,,,,,,,,0.75
340,ULASAVA Darya,BLR,,,,,,,,,,,0.375,,,0.25,,,,0.0,,,0.625
341,GAMKE Ella,GER,,,,,,,,,0.25,,0.375,,,,,,,,,,0.625
342,CENKER Freya,AUT,,,,,,,,0.25,,,0.375,,,,,,,,,,0.625
343,RUTA Giorgia,ITA,,0.5,,,,,,,,,,,,,,,,,,,0.5
343,ABU OBID Celine,JOR,0.5,,,,,,,,,,,,,,,,,,,,0.5
345,DERMENZHY Valentyna,UKR,,0.5,,,,0.0,,,,,,,,,,,,,,,0.5
346,ALBUAINAIN Sumaya,BRN,0.5,,,,,,,,,,,,,,,,,,,,0.5
347,NGUYEN Thi Thu Phuong,VIE,,,,,0.5,,,,,,,,,,,,,,,,0.5
348,ARAOUD Ritej,BRN,0.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.5
349,CAMMILLETTI Marta,ITA,,0.5,,,,,,,,,,,,,,,,,,,0.5
349,BASSO Valentina,BRA,,,,0.5,,,,,,,,,,,,,,,,,0.5
349,CHENG Cleona Yu Han,SGP,,,,,0.5,,,,,,,,,,,,,,,,0.5
352,SMITHISUKUL Chayada,THA,,,,,0.5,,,,,,,,,,,,,,,,0.5
352,ALTAMIMI Hessa,UAE,0.5,,,,,,,,,,,,,,,,,,,,0.5
354,AL FULAITI Ghzal,OMA,0.5,,,,,,,,,,,,,,,,,,,,0.5
355,SILVA Samara,BRA,,,,0.5,,,,,,,,,,,,,,,,,0.5
356,LITA Karina,ROU,,0.5,,,,,,,,,,,,0.0,,,,,,,0.5
357,MORAIS Marina,BRA,,,,0.5,,,,,,,,,,,,,,,,,0.5
357,ALMARRI Aljawharah,KSA,0.5,,,,,,,,,,,,,,,,,,,,0.5
359,BRYZGALOVA Svitlana,UKR,,0.25,,,,0.25,,0.0,,,0.0,,,,,,,,,,0.5
360,JENG Zi-Yin,TPE,,,,,0.25,,,,0.0,0.25,,,,,0.0,,,,,,0.5
361,WAGSTAFF Zoe,GBR,,,,,,,,0.5,,,,,,,,,,0.0,,0.0,0.5
362,BONETTI Giovana,BRA,,,,,,,0.0,0.5,,,,,,,,,,,,,0.5
363,CASALS BRODU Alice,ESP,,,,,,,0.0,0.5,,,,,,,,,,,,,0.5
364,NAKADE Hiyori,JPN,,,,,,,,0.5,,,,,,,,,,,,,0.5
364,JO Juhyun,KOR,,,,,,,,,0.5,,,,,,,,,,,,0.5
366,FETECAU Ilinca,CAN,,,,,,,,,0.5,,,,,,,,,,,,0.5
367,KIM Chaeyeon,KOR,,,,,,,,,0.5,,,,,,,,,,,,0.5
368,KIM Minji,KOR,,,,,,,,,0.5,,,,,,,,,,,,0.5
369,ZHOU Yuting,CHN,,,,,,,,,0.5,,,,,,,,,,,,0.5
370,CHAE Songoh,KOR,,,,,,,,,0.5,,,,,,,,,,,,0.5
371,ZIEMAK Emilia,POL,,,,,,,,,,,,,0.5,,,,,,,,0.5
372,BUTRUILLE Solene,FRA,,,,,,,,,0.5,,,,,,,,,,,,0.5
373,KIM Hyunjin,KOR,,,,,,,,,0.5,,,,,,,,,,,,0.5
373,BELYAEVA Polina,RUS,,,,,,,,,,,,,0.5,,,,,,,,0.5
375,SYNORADZKA Martyna,POL,,,,,,,,0.5,,,,,,,,,,,,,0.5
376,HONG Sena,KOR,,,,,,,,,0.5,,,,,,,,,,,,0.5
377,CHEUNG Daisy Isis,HKG,,,,,,,,,,0.5,,,,,,,,,,,0.5
378,REINER Aglaya,AUT,,,,,,,,,,,0.375,,,,,,,,,,0.375
379,LIU Zhaoyi,USA,,,,,,,,,,,0.375,,,,,,,,,,0.375
380,LAI Sophia,USA,,,,,,,,,,,0.375,,,,,,,,,,0.375
381,TUSSUPBEKOVA Kulzhan,KAZ,,,,,,,,,0.0,,0.375,,,,0.0,,,,,,0.375
382,HAJAS Nora,HUN,,0.0,,,,0.25,,,,,,,,,,,,,,,0.25
383,ZAMAN Fatima,BRN,0.25,,,,,,,,,,,,,,,,,,,,0.25
383,PARRA Emily,FRA,,,,,,,0.25,,,,,,,,,,,,,,0.25
383,BARDES Sophie,ITA,,0.25,,,,,,,,,,,,,,,,,,,0.25
386,BORYSOVA Ahlaia,UKR,,0.25,,,,0.0,,,,,,,,,,,,,,,0.25
387,WONG Angellena Yan Qi,SGP,,,,,0.25,0.0,,,,0.0,,0.0,,,0.0,,,,,,0.25
388,NOTT Adrienne,USA,,,0.25,,,,,,,,,,,,,,,,,,0.25
388,ALMARRI Lameed,KSA,0.25,,,,,,,,,,,,,,,,,,,,0.25
390,ODD-TALLAH Angel,JOR,0.25,,,,,,,,,,,,,,,,,,,,0.25
391,PELLETIER Heloise,FRA,,,0.25,,,,0.0,,,,,,,,,,,,,,0.25
392,MAHOVSZKIJ Szilvia,HUN,,0.25,,,,0.0,,,,,,,,,,,,,,,0.25
393,KOH Shao Yuan Gianna,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
394,GALE Madeleine,GBR,,,0.25,,,,0.0,,,,,,,,,,,,,,0.25
395,PROKESOVA Barbora,CZE,,,0.25,,,0.0,,0.0,,,,,,,,,,,,,0.25
396,CAPINA Miyake,PHI,,,,,0.25,,,,,0.0,,,,,,,,,,,0.25
397,GIORDANI Sofia,ITA,,,0.25,,,,,,,,,,,,,,,,,,0.25
398,DELHOUME Lorene,FRA,,,,,0.25,,,,,,,,,,,,,,,,0.25
398,FARIELLO Giulia,ITA,,0.25,,,,,,,,,,,,,,,,,,,0.25
400,MITI BIKFALVI Ingrid,ROU,,0.25,,,,,0.0,,,,,,,,,,,,,,0.25
401,ALIX Adele,FRA,,,0.25,,,,,,,,,,,,,,,,,,0.25
402,CHAN Chloe,HKG,,,,,0.25,,,,,0.0,,,,,,,,,,,0.25
403,NEMCOVA Stepanka,CZE,,,0.0,,,0.0,0.25,0.0,,,0.0,,0.0,0.0,,,,0.0,,,0.25
404,ADOCH Alexandra,ROU,,0.25,0.0,,,,,,,,,,,,,,,,,,0.25
405,LIU Yihan,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
405,CAUVET Olivia,FRA,,,0.25,,,,,,,,,,,,,,,,,,0.25
407,CRUZ ARMSTRONG Alegria,ESP,,0.25,,,,,0.0,,,,,,,,,,,,,,0.25
408,LI Si-Xian Jocelyn,TPE,,,,,0.25,,,,,,,,,,0.0,,,,,,0.25
409,ABELE Liene,LAT,,,0.25,,,,,,,,,,,,,,,,,,0.25
410,ILLEKOVA Katerina,CZE,,,0.0,,,0.25,,,,,,,,,,,,,,,0.25
411,HARONI Agapi,HUN,,0.25,,,,0.0,,,,,,,,,,,,,,,0.25
412,BOUMAZA Eileen,FRA,,,0.25,,,,,,,,,,,,,,,,,,0.25
412,TAN Alyssa Si En,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
414,ELLIOTT Megan,GBR,,,0.25,,,,,0.0,,,0.0,,,,,,,0.0,,,0.25
415,SITA NAIDU Maaravis,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
415,JOSAN Uliana-Dumitrita,MDA,,0.25,,,,,,,,,,,,,,,,,,,0.25
417,SEET Tiffany,SGP,,,,,0.0,,,0.25,0.0,0.0,,,,,,,,,,,0.25
418,GROESS Chiara,AUT,,0.0,,,,0.0,,0.25,0.0,,0.0,,,0.0,,,,,,,0.25
419,MESTERI Viktoria,HUN,,,,,,0.0,,0.25,,,,,,,,,,,,,0.25
420,ZAFFINO Indigo,GBR,,,0.0,,,,,0.0,0.0,,0.0,,,0.25,,,,,,,0.25
421,WASILCZUK Dominika,POL,,,,,,,0.0,0.25,,,0.0,,,,,,,,,,0.25
422,FABIANEK Marie,AUT,,,,,,0.0,,0.25,,,0.0,,,,,,,,,,0.25
423,ROS VINAS Martina,ESP,,,,,,,0.0,0.25,,,,,,,,,,,,,0.25
424,CHOI Yumin,KOR,,,,,,,,,0.25,,,,,,,,,,,,0.25
424,ELZOHEIRY Mariam,EGY,,,,,,,,,,,,,0.25,,,,,,,,0.25
426,NOWAKOWSKA Aleksandra,POL,,,,,,,,0.25,,,,,0.0,,,,,,,,0.25
427,KOO Chabin,KOR,,,,,,,,,0.25,,,,,,,,,,,,0.25
428,MOON Sehee,KOR,,,,,,,,,0.25,,,,,,,,,,,,0.25
429,TANG Fu Jiao Melody,CAN,,,,,,,,,,0.25,0.0,,,,,,,,,,0.25
430,CHUNG Wan Yin,HKG,,,,,,,,,0.0,0.25,0.0,,,,0.0,,,,,,0.25
431,CHENG Tiantian,CHN,,,,,,,,,,0.25,,,,,0.0,,,,,,0.25
432,LEE Seohyeon,KOR,,,,,,,,,0.25,,,,,,,,,,,,0.25
433,TANTAST Malek,ALG,,,,,,,,,,,,,,,,0.0,,,,,0.0
434,WU Yuki,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
435,XELLA Isadora,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
436,HUANG Luana,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
437,ALKHAMISI Shouq,KSA,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0
438,MEINE Mariana,BRA,,,,0.0,,,,,,,,,,,,,,,,,0.0
439,ALGALAYENE Sara,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
440,ALARJI Abeer,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
441,NASER Haya,JOR,0.0,,,,,,,,,,,,,,,,,,,,0.0
442,ALDUHAIM Ghala,KSA,0.0,,,,,,,,,,,,,,,,,,,,0.0
443,GRIFFIN Emma,USA,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
444,BALAZS Dora,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
445,YANG Audrey,USA,,,0.0,,,,,,,,,,,,,,,,,,0.0
446,ELSEEHY Pako,GBR,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0
447,BONNY Esther,FRA,,,0.0,,,,,,,,,,,,,,,,,,0.0
448,MAHUTKA Malin Ava,GER,,,0.0,,,,,,,,,,,,,,,,,,0.0
449,GRANVILLE Bronwen,GBR,,,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0
450,RUNGRUANG Suchanart,THA,,,,,0.0,,,,,,,,,,,,,,,,0.0
451,DURUKAN Almila Birce,TUR,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0
452,CHEN Yu-Shu,TPE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0
453,MATOS Deyanara,DOM,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0
454,WITT Lara,GER,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0
455,MALE Enya,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
456,MARKUS Boglarka,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
457,HERNANDEZ VEGA Mya Isabelle,PUR,,,,,,,,,,,,,,,,,0.0,,,,0.0
457,YEO Jazlyn Siok Chin,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
459,HUANG Melanie Xinyi,SGP,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0
460,BERRETTA Mariavittoria Elvira,ITA,,,,,,0.0,,,,,,,,,,,,,,,0.0
461,SIMKOVA Anna,CZE,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0
462,ZONI Lea,GER,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0
463,CHEUNG Wing Yee,HKG,,,,,0.0,,,,,,,,,,,,,,,,0.0
463,MENDOZA PRESA Katherine Abigail,ESA,,,,,,,,,,,,,,,,,0.0,,,,0.0
465,MONROY HERRERA Gabriela,COL,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0
466,BOTOS Arven Anasztazia,HUN,,0.0,,,,,,,,,,,,,,,,,,,0.0
466,RODARIE Chloe,FRA,,,,,,,0.0,,,,,,,,,,,,,,0.0
468,DOMJAN Ida,CRO,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
469,SAUCEDO Kenia,GUA,,,,,,,,,,,,,,,,,0.0,,,,0.0
469,GONTIER Ninon,BEL,,,0.0,,,,,,,,,,,,,,,,,,0.0
469,HERNANDEZ Veronica L.,PUR,,,,,,,,,,,,,,,,,0.0,,,,0.0
469,CHANG Man-Li,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
473,TOTH Lena Sara,HUN,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
474,NG Anya,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
475,PEREZ Camila,GUA,,,,,,,,,,,,,,,,,0.0,,,,0.0
475,BYRNE Lauren,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
475,SAIONI Greta,ITA,,,,,,0.0,,,,,,,,,,,,,,,0.0
475,LIN Yu-Wei,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
475,BARBU Ioana,ROU,,0.0,,,,,,,,,,,,,,,,,,,0.0
475,REBOLLO Patricia,ESP,,,,,,,0.0,,,,,,,,,,,,,,0.0
481,CHRISTIE Erika,BOL,,,,,,,,,,,,,,,,,0.0,,,,0.0
481,GOROBET Ecaterina,MDA,,0.0,,,,,,,,,,,,,,,,,,,0.0
481,YANG Iris,USA,,,,,,,0.0,,,,,,,,,,,,,,0.0
481,ZHU Taile,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
485,VIZCARRA Cielo,PER,,,,,,,,,,,,0.0,,,,,0.0,,,,0.0
486,MI Aileen,USA,,,,,,,0.0,,,,,,,,,,,,,,0.0
486,BINAGHI Mariavittoria,SUI,,0.0,,,,,,,,,,,,,,,,,,,0.0
486,SHIH Han-Lin,TPE,,,,,0.0,,,,,,,,,,,,,,,,0.0
486,CORREA STICCONI Maria Caterina,ARG,,,,,,,,,,,,,,,,,0.0,,,,0.0
486,ADAMS Rachael,GBR,,,0.0,,,,,,,,,,,,,,,,,,0.0
486,SOH Trina,SGP,,,,,0.0,,,,,,,,,,,,,,,,0.0
492,YOSHIMORI Rachika,NED,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0
493,STEFAN Dorja,CRO,,0.0,,,,,,,,,,,,,,,,,,,0.0
494,PRON Kira,UKR,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0
495,PAVLOVIC Silvija,SRB,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0
496,MENA ORTIZ Irene Abigail,ESA,,,,,,,,,,,,,,,,,0.0,,,,0.0
496,HUBER Taneka,AUS,,,,,0.0,,,,,,,,,,,,,,,,0.0
498,SIMON Borbala,HUN,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,0.0
499,CHANG Eunice,GUA,,,,,,,,,,,,,,,,,0.0,,,,0.0
499,HA Thi Van Anh,VIE,,,,,0.0,,,,,,,,,,,,,,,,0.0
499,HAI Sreysros,CAM,,,,,,,,,,,,,,,,,,,0.0,,0.0
502,COOPER Piper,USA,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
503,VASILE Karina,ROU,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0
504,WANG Helen,NZL,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,0.0
505,SUVALJKO Korana,CRO,,0.0,,,,,,,,,,,,,,,,,,,0.0
505,ADHIKARI Anita,NEP,,,,,,,,,,,,,,,,,,,0.0,,0.0
507,MCLAUGHLIN Mhairi,GBR,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0
