Rank,Name,Nat.,21/09 Belgrade (SA),28/09 Gand (SA),05/10 Genève (SA),12/10 Split (SA),19/10 Dublin (SA),26/10 Barcelone (SA),04/12 Vancouver (A),08/01 Fujairah (A),23/01 Doha (GP),06/02 Wuxi (A),27/03 Astana (A),17/04 Budapest (GP),09/05 Medellín (GP),22/05 St-Maur (A),02/06 Abidjan (CHZ),17/06 Lima (CHZ),18/06 Antony (CHZ),21/06 Delhi (CHZ),22/07 Hong Kong (CHM),Total points
228,CHATZISARANTOU Nikoletta,GRE,,,0.0,,,,,,,,,0.375,,0.25,,,1.5,,2.5,4.625
229,VERGNES Anna,LTU,,2.0,,,2.0,0.0,,,,,0.5,0.0,,,,,,,,4.5
230,TERCJAK Oliwia,POL,,,,0.25,,,0.5,0.25,,0.0,0.25,1.5,,2.0,,,,,,4.5
231,TEJEDA Sheila Liliana,MEX,,,,,,,0.25,,,,,,,,,3.0,,,1.25,4.5
232,SALAMON Reka,HUN,0.5,,,0.0,,,,2.0,1.5,,,0.375,,,,,,,,4.375
233,CONRAD Alice,FRA,,0.25,,,,,,,1.5,0.5,1.0,0.0,,1.0,,,,,,4.25
234,OCEGUEDA VELASCO Barbara Columba,MEX,,,,,,,,,,,,,,,,3.0,,,1.25,4.25
235,GOMEZ Juliana Ma. Beatrice,PHI,,,,,,,0.0,,,,,,,,,,,3.0,1.25,4.25
236,TSENG Hsiu-Hui,TPE,,,,,,,,,,,,,,,,,,3.0,1.25,4.25
237,SANGNGIO Natpapat,THA,,,,,,,,,,,,,,,,,,3.0,1.25,4.25
238,JARAMILLO QUEVEDO Maria De Los Angeles,COL,,,,,,,,,,,,,1.5,0.25,,0.0,,,2.5,4.25
239,CHIN Isabella,USA,,,,,,,2.0,,0.75,,0.0,1.5,0.0,,,,,,,4.25
240,MASALO Olivija,LTU,,,,0.0,,0.0,,,,,0.25,1.5,,0.25,,,1.5,,0.625,4.125
241,DOUBOVA Dominika,CZE,,,,,,,0.25,0.0,0.75,,,0.375,,0.0,,,1.5,,1.25,4.125
242,PAULIS Giulia,ITA,,,,,,,,,,,,,,4.0,,,,,,4.0
243,GONZALEZ RODRIGUEZ Isabella,COL,,,0.0,,,0.0,,,,,,,0.75,0.25,,3.0,,,0.0,4.0
244,VUORINEN Anna,FIN,,,,,,,,2.0,0.0,,0.25,0.0,,0.25,,,1.5,,0.0,4.0
245,TARASOVA Ekaterina,RUS,,,,,,,,1.0,0.75,1.0,0.5,0.75,,0.25,,,,,,4.0
246,GUERRERO HIDALGO Victoria,VEN,,,,,,0.5,,,,,,0.375,3.0,0.0,,,,,,3.875
247,HARRISON Ashley Mae Michelle,AUS,,,,,,,,,,,,0.0,,0.25,,,,3.0,0.625,3.875
248,YEE Amelie,AUS,,,,,,,0.0,0.0,0.75,0.0,,,,,,,,3.0,0.0,3.75
249,ZHENG Evelyn,CAN,,0.5,0.0,0.25,1.0,0.0,0.0,,,,,0.375,1.5,0.0,,,,,,3.625
250,GRIJAK Jana,SRB,0.0,,,0.25,,,,,,,,0.375,,,,,3.0,,,3.625
251,DINOY Ivy Claire,PHI,,,,,,,,,,,,,,,,,,3.0,0.625,3.625
252,ABELLA Hanniel,PHI,,,,,,,,0.0,,,,,,,,,,3.0,0.625,3.625
253,HAYER Yashkeerat Kaur,IND,,,,,,,,,,,,,,,,,,3.0,0.625,3.625
254,THIANKUL Mooktapa,THA,,,,,,,,,,,,,,,,,,3.0,0.625,3.625
255,CHAUDHARI MITVA JESANGBHAI,IND,,,,,,,,0.5,,,,,,0.0,,,,3.0,0.0,3.5
256,MBIIM Solene,FRA,,,,,,,1.0,2.0,,,,,,0.5,,,,,,3.5
257,LAUVRAY Emma,FRA,,,0.25,,,0.0,,,1.5,0.0,1.0,0.375,,0.25,,,,,,3.375
258,GACHALYI Greta,HUN,,,,,,,,2.0,0.0,,,0.375,,1.0,,,,,,3.375
259,NAGAI Anna,JPN,,,,,,,0.0,0.25,0.75,0.0,0.5,0.375,1.5,0.0,,,,,,3.375
260,POWELL Alexandra,GBR,,,,0.25,,,,,,,,,,,,,3.0,,,3.25
261,AYTEKIN Cagla,GER,,,,,,,,,3.0,,,,,0.25,,,,,,3.25
262,TOBY Natalia,USA,,,,,,,0.5,0.0,0.75,2.0,,,,,,,,,,3.25
263,PEAT Sophie,GBR,,,0.25,,,,,,,,,0.375,,1.0,,,1.5,,,3.125
264,LOZANO Candela,ESP,,,,,,0.5,,0.5,,,,1.5,,0.5,,,,,,3.0
265,MOLINA CERON Krissya Marlieth,ESA,,,,,,,,,,,,,,,,3.0,,,,3.0
266,TRAN Thi Thuy Trinh,VIE,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
267,CHANG Caitlin,JAM,,,,,,,,,,,,,,,,3.0,,,,3.0
268,JURADO SALAZAR Daniela,CRC,,,,,,,,,,,,,0.0,,,3.0,,,,3.0
269,PANTELYEYEVA Kseniya,UKR,,,,0.0,,,,,,,,3.0,,,,,,,,3.0
270,MUESES Elsa,DOM,,,,,,,0.0,,,,,,0.0,,,3.0,,,,3.0
271,KHARKOVA Vlada,UKR,,,,,,,,,,,,3.0,,,,,,,,3.0
271,BATSAIKHAN Amarzaya,MGL,,,,,,,,,,,,,,,,,,3.0,,3.0
273,NAHAPETYAN Datev,ARG,,,,,,,,,,,,,,0.0,,3.0,,,,3.0
274,WANDMACHER Angela Yailen,DOM,,,,,,,,,,,,0.0,,,,3.0,,,,3.0
275,PUENGKUNTOD Pornchita,THA,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
276,EGLEZ Victoria,ARG,,,,,,,,,,,,,,,,3.0,,,,3.0
277,NAVARRO VASQUEZ María,PAN,,,,,,,,,,,,,,,,3.0,,,,3.0
278,RICE Imogen,AUS,,,,,,,,0.0,0.0,0.0,,,,,,,,3.0,,3.0
279,WILLIAMS Claudine,JAM,,,,,,,,,,,,,,,,3.0,,,,3.0
280,MARTINELLI LEZCANO Valeria,PAN,,,,,,,,,,,,,,,,3.0,,,,3.0
280,ARAZOVA Nabat,TKM,,,,,,,,,,,,,,,,,,3.0,,3.0
282,CEDREZ NOBLE Ariana Belen,URU,,,,,,,,,,,,,,,,3.0,,,0.0,3.0
283,REZAEI TADI Reihaneh,IRI,,,,,,,,0.0,,,,,,,,,,3.0,,3.0
284,BENEDITO Maria Ailed,PAN,,,,,,,,,,,,,,,,3.0,,,,3.0
285,NGUYEN Thanh Van,VIE,,,,,,,,,,,0.0,,,,,,,3.0,,3.0
286,LARRAZABAL Alexa,PHI,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
287,KLAIDUANG Chanyanuch,THA,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
288,MOIDUNOVA NADIIA,KGZ,,,,,,,,,,,,,,,,,,3.0,,3.0
289,ALREFAE Fawzia,KUW,,,,,,,,0.0,0.0,,,,,,,,,3.0,0.0,3.0
290,BAJORUNAITE-STAUSKE Paulina,LTU,,,,,,,,,,,,,,,,,3.0,,,3.0
291,HUBER Pia,AUT,,,,,0.5,,0.0,0.25,0.0,,0.25,0.375,1.5,0.25,,,,,,2.875
292,KOROTETSKA Kateryna,UKR,,,0.0,0.0,,0.0,,0.5,,,2.0,0.375,,0.0,,,,,,2.875
293,PRAXMARER Leonore,AUT,0.25,1.0,,,0.25,0.0,0.25,0.25,,,0.5,0.0,0.75,0.25,,,,,,2.75
294,LIANG Xinyi,CHN,,,,,,,,,,2.0,0.5,,,0.25,,,,,,2.75
295,JORGENSEN Laeticia,DEN,,,0.0,,,,,0.0,,,0.0,0.0,,,,,1.5,,1.25,2.75
296,FARLAM Reya,GBR,,,,,,,,,,,,,1.5,,,,,,1.25,2.75
297,LEE Sinhee,KOR,,,,,,,,1.0,1.5,0.25,,,,,,,,,,2.75
298,IZZO Iulia,SUI,,,0.0,,,,,,0.75,0.0,0.5,0.375,0.75,0.25,,,,,,2.625
299,KIM Hyangeun,KOR,,,,,,,1.0,,,,,1.5,,,,,,,,2.5
300,ILIUSHCHENKO Anastasiia,RUS,,,,,,,,,,2.0,,0.375,,,,,,,,2.375
301,ANTWI Anna,CZE,,,,,,,0.25,,,,0.0,0.375,,0.25,,,1.5,,,2.375
302,KRAVETS Alexandra,ISR,,,,,,,2.0,,,,,,,0.25,,,,,,2.25
303,YIZHAKI Yuval,ISR,,,,,,,1.0,1.0,,,0.25,,,0.0,,,,,,2.25
304,COUFALOVA Natalie,CZE,,,,,,,,,,,,0.75,,,,,1.5,,,2.25
305,CAFASSO Natalya,USA,,,,,,,,,,,,1.5,0.75,,,,,,,2.25
306,HILLE-DAHL Thale,NOR,,0.5,0.0,,0.25,,,,,,,0.375,,1.0,,,0.0,,,2.125
307,LOEHR Lisa-Marie,GER,,0.0,,,,,0.0,,0.75,0.5,0.5,0.375,,,,,,,,2.125
308,LIN Jessica,USA,,,,,,,0.25,,1.5,,0.0,0.375,,,,,,,,2.125
309,FERRACUTI Elena,ITA,,,2.0,,,,,,,,,,,,,,,,,2.0
310,ZENS Anna,LUX,,1.0,0.5,,0.5,0.0,,,,,,0.0,,0.0,,,,,,2.0
311,CHEN Chen,CHN,,,,,,,,,,2.0,,,,,,,,,,2.0
312,CANDREVA Greta,USA,,,,,,,,,,2.0,,,,,,,,,,2.0
313,KUN Anna,HUN,,,,,,,,,,,,,,2.0,,,,,,2.0
314,JELINEVITS Anastassia,EST,,,,,,,,,,,,,,2.0,,,,,,2.0
315,JIANG Serena,CAN,,,,,,,2.0,,,,,,,,,,,,,2.0
316,HUREL Bertille,CAN,,,,,0.0,,0.5,,,,,,1.5,0.0,,,,,,2.0
317,HAM Sumin,KOR,,,,,,,2.0,,,,,,,,,,,,,2.0
318,DING Dong,CHN,,,,,,,,,,2.0,,,,,,,,,,2.0
319,TORREGO Martina,ESP,,,,,,0.0,,,,,,,,2.0,,,,,,2.0
320,ZHANG XINRONG,CHN,,,,,,,,,,2.0,,,,,,,,,,2.0
321,ZAKHARENKO Antonina,RUS,,,,,,,,0.5,1.5,,,,,,,,,,,2.0
322,NIXON Caroline,USA,,,,,,,,0.25,1.5,0.25,,,,,,,,,,2.0
323,HILBRIG Viktoria,GER,,,,,,,,,1.5,,0.25,,,0.25,,,,,,2.0
324,MATEOS Maria,ESP,,,,,,1.0,,0.0,,0.25,0.5,0.0,,0.0,,,,,,1.75
325,NISHIOKA Hitomi,JPN,0.5,0.5,0.25,,0.5,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,1.75
326,WIMMER Dorina,HUN,0.5,,,,,,,0.5,,,,0.75,,,,,,,,1.75
327,ORLOVA Anna Marija,LAT,,0.25,,,,,,,,,,,,,,,1.5,,,1.75
328,TARIN Lana,FRA,,,0.0,,,,,,,,,,1.5,0.25,,,,,,1.75
329,BOS Valentina,SUI,,,,,,,0.5,0.25,0.0,0.0,0.25,0.0,0.75,0.0,,,,,,1.75
330,HILLIER Harriet,GBR,,,0.0,,,1.0,,,,,,,,,,,,,0.625,1.625
331,BONITO Fabiana,POR,,,,,,,,,,0.0,,0.375,,0.0,,,0.0,,1.25,1.625
332,CAN Zulal,TUR,0.5,,,,,,,,,,1.0,,,,,,0.0,,,1.5
333,SAMKO Anastasiia,UKR,,,,0.0,,0.25,,,,,0.25,0.75,,0.25,,,,,,1.5
334,LARSEN Sarah Schremmer,DEN,0.0,0.25,,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,1.25,1.5
335,VARFOLOMEYEVA Darya,UKR,,,,0.0,,,1.0,0.0,,,0.5,,,,,,,,,1.5
336,NAGY Emma,HUN,0.0,,,,,,,,1.5,,,0.0,,,,,,,,1.5
337,ZETTERMANN Renata,BRA,,,,,,,,,,,,,1.5,0.0,,0.0,,,,1.5
338,YOUSEF Mira,UKR,,0.0,0.0,0.0,,,,0.25,0.75,,0.5,,,0.0,,,,,,1.5
339,POLOZOVA Yulia,RUS,,,,,,,,0.0,1.5,,,,,,,,,,,1.5
340,AIGERMANOVA Gabriela,CZE,,,,,,,,0.0,1.5,,,,,,,,,,,1.5
341,BILOUS-GRIDZHAK Valeriia,UKR,,,,,,,1.0,,,0.5,,,,,,,,,,1.5
342,YANG Hanting,CHN,,,,,,,,,,,,,1.5,,,,,,,1.5
343,LV Xi Er,CAN,,,,,,,0.5,0.25,0.75,0.0,,,,,,,,,,1.5
344,ZIVANOVIC Jovana,SRB,1.0,,,,,,,,,,,0.375,,,,,0.0,,,1.375
345,KRYMOVA Galina,RUS,,,,,,,,,,,1.0,0.375,,,,,,,,1.375
346,STEFFENS Eva,GER,,,,,,,,,,,,0.375,,1.0,,,,,,1.375
347,ZABOLOTNA Daryna,UKR,,,1.0,0.25,,,,,,,,0.0,,,,,,,,1.25
348,SILETTI Vittoria,ITA,,,0.25,,1.0,,,,,,,,,,,,,,,1.25
349,STEFANOVA Mihaela,BUL,0.25,,,,,1.0,,,,,,,,,,,,,,1.25
350,HUELLAS-BRUSKIEWICZ Marie-Rose,CAN,,1.0,,,,,,,,,,,,0.25,,,,,,1.25
351,MAIGA Magda Louna,SUI,,,1.0,,,,,0.25,,,,,,,,,,,,1.25
352,STANCIULESCU Daria,ROU,0.0,,,0.25,,,,,,,,0.375,,,,,,,0.625,1.25
353,TRYNOVA Julia,EST,,,,0.0,,0.25,,0.5,,,,,,0.5,,,,,,1.25
354,MARSCHALL Reka,HUN,0.0,,,,,,,0.5,0.0,,,0.75,,,,,,,,1.25
355,SEREGIN EKATERINA,USA,,,,,,,,,,,1.0,,,0.25,,,,,,1.25
356,SOBUS Yanka,CAN,,,,,,,0.0,0.5,,,,0.75,,0.0,,,,,,1.25
357,NOR ANUAR Filzah Hidayah Binte,SGP,,,,,,,0.0,,,0.5,,,,,,,,,0.625,1.125
358,LORD Sarah-Eve,CAN,,,,,,,0.5,,,,,0.375,,0.25,,,,,,1.125
359,HERMAY Camille,FRA,,0.5,0.5,,,0.0,,,,,,,,,,,,,,1.0
360,HERSANT Lydiane,FRA,,,0.25,,,0.5,,,,,,,,0.25,,,,,,1.0
361,CEBE Ceren,TUR,0.5,,,,,,,,0.0,,0.5,,,0.0,,,0.0,,,1.0
362,CORRADINO Anita,ITA,0.25,,0.25,,0.5,,,,,,,,,,,,,,,1.0
363,HEUBI Pauline,SUI,,,0.5,,,,0.5,0.0,0.0,,,,,,,,,,,1.0
364,CHACON Camila,VEN,0.0,0.25,,,,,,0.0,,0.0,,0.0,0.75,0.0,,,,,,1.0
365,CONRAD Anastasia,SUI,,,0.0,,,,1.0,,0.0,,,,,,,,,,,1.0
366,KIKERPILL Eliisa,EST,,,,0.0,,0.0,,0.25,,,0.25,0.0,,0.5,,,,,,1.0
367,DORVAL Anne-Marie,CAN,,,,0.0,,,0.5,,,0.25,,,,0.25,,,,,,1.0
368,SEREDA Mariia,UKR,,,,0.0,,0.0,,,,,,0.75,,0.25,,,,,,1.0
369,ABAJO SALCEDO Lucia,ESP,,,,,,0.0,,1.0,,,,,,,,,,,,1.0
370,LARKINA Taisiya,RUS,,,,,,,,,,1.0,,,,,,,,,,1.0
371,YANG Dong,CHN,,,,,,,,,,1.0,,,,,,,,,,1.0
372,JIANG Huishuang,CHN,,,,,,,,,,1.0,,,,,,,,,,1.0
373,HU Mingze,CHN,,,,,,,,,,1.0,,,,,,,,,,1.0
374,MAANINKA Moa,SWE,,,,0.0,,,,,,1.0,0.0,0.0,,,,,,,,1.0
375,WITTER Catherine,USA,,,,,,,,1.0,,,,,,,,,,,,1.0
376,SPYRYDONOVA Polina,UKR,,,,0.0,,,,,,,1.0,,,,,,,,,1.0
377,PYTKA Sara,POL,,,,,,,0.0,1.0,,0.0,0.0,,,,,,,,,1.0
378,FAN Yun-Cian,TPE,,,0.0,,,,0.25,0.0,0.75,0.0,0.0,,,0.0,,,,,,1.0
379,KIM Reena,KOR,,,,,,,,,,,,,,1.0,,,,,,1.0
380,SILVA Marcela,BRA,,,,,,,0.0,,0.0,,,0.0,0.75,0.25,,,,,0.0,1.0
381,LAHAROTTE Gwendoline,FRA,,,,,,,,,,,,,0.75,0.25,,,,,,1.0
382,KOLBENEVA Ekaterina,RUS,,,,,,,,,,,0.25,0.75,,,,,,,,1.0
383,MISIAK Laura,POL,,,,,,,,,,,,0.75,,0.25,,,,,,1.0
384,EMBRICH Maria,EST,,,,,,,,0.25,,,,0.75,,0.0,,,,,,1.0
385,KUTT Laura,EST,,,0.25,,,,,,,,,0.375,,0.25,,,,,,0.875
386,CHTEFANOV Emily,ISR,,,,,,,,,,,,,,0.25,,,0.0,,0.625,0.875
387,REESINCK Sophie,NED,0.25,0.25,0.0,,,,,,0.0,,,0.0,,0.25,,,,,,0.75
388,ERTEN Nilahsen,TUR,0.25,,,,,,,,0.0,,0.5,,,,,,0.0,,,0.75
389,ROSKOSZ Anna,POL,,,,0.0,,,,0.25,,0.5,,,,,,,,,,0.75
390,RAMIREZ GUEVARA Dayanna Graciela,ESA,,,,,,,,,,,,,0.75,0.0,,0.0,,,,0.75
391,TOKTAS Yasemin,TUR,0.0,,,,,,,,0.75,,,,,,,,,,,0.75
392,PISTSOVA Ulyana,KAZ,,,,,,,,0.5,,,0.25,,,,,,,,,0.75
393,DUTTA Jyotika,IND,,,,,,,,,0.75,,0.0,,,,,,,,,0.75
394,ZERRWECK Lina,GER,,,,,,,,,0.375,0.0,,0.375,,0.0,,,,,,0.75
395,ZIEGLER Luise,GER,,0.0,0.0,,,,0.0,,,,0.0,0.375,,0.25,,,,,,0.625
396,SKOLYSHEVA Arina,GEO,,0.0,,,,,,,,,,0.375,,0.25,,,0.0,,,0.625
397,SENNERLIN HOLM Engla,SWE,,,,0.0,,,,,,0.25,0.0,0.375,,,,,,,,0.625
398,ALZAABI Shaikha,UAE,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,0.625,0.625
399,LAI Hiu Tung,HKG,,,,,,,,,0.0,0.0,,0.375,,0.25,,,,,,0.625
400,HUANG U Kei,MAC,,,,,,,,,,,,,,,,,,,0.625,0.625
401,TSOGBAYAR Undral,MGL,,,,,,,,,,,,,,,,,,,0.625,0.625
402,TURCSAK Bianka,HUN,0.5,,,,,,,,,,,,,,,,,,,0.5
403,SAPIN Galadrielle Tunde,SUI,,,0.5,,,,0.0,,0.0,0.0,,,,,,,,,,0.5
404,EADIE Olivia,GBR,,,0.0,,0.5,,,,,,,,,,,,,,,0.5
405,VELISLAVOVA Victoria,BUL,0.5,,,,,0.0,,,,,,,,,,,,,,0.5
406,RODRIGUEZ VICENTE Alejandra,ESP,,,,,,0.5,,,,,,,,,,,,,,0.5
407,UBAUD Ann Charlotte,FRA,,,0.5,,,,,,,,,,,,,,,,,0.5
407,S NAGY Emese,HUN,,,,0.5,,,,,,,,,,,,,,,,0.5
409,MAJDANDZIC Andrea,CRO,0.5,,,0.0,,,,,,,,,,,,,,,,0.5
410,PIERACCIANI Alice,ITA,,,,,,0.5,,,,,,,,,,,,,,0.5
411,VAN DEN BERGH Eveline,NED,,0.0,,,0.25,0.25,,,,0.0,,,,,,,,,,0.5
412,GRABOVSKYTE Lurde,LTU,,,,,0.25,0.25,,,,,0.0,,,,,,0.0,,,0.5
413,TENGESDAL Vilde,NOR,,,,,0.25,,,,,,,,,0.25,,,0.0,,,0.5
414,RAMUZ Leonie,SUI,,,0.25,,,,,,,,,,,0.25,,,,,,0.5
415,DUBEAU Alexa,CAN,,,,0.0,,,0.5,,,,,,,,,,,,,0.5
416,LEGAC Gloria-Dahlia,AUT,,,,0.0,0.0,,,,,,0.25,0.0,,0.25,,,,,,0.5
417,GOGNIAT Vanie,SUI,,,0.0,,,,0.5,,,,,,,,,,,,,0.5
418,YOOSEFI Daria,GER,,,,0.0,,,,,,,0.5,,,,,,,,,0.5
419,JONAS Anna,GER,,0.0,,,,,0.25,,0.0,0.0,0.25,0.0,,0.0,,,,,,0.5
420,SHI Ziyan,CHN,,,,,,,,,,0.5,,,,,,,,,,0.5
421,ZHAO Jiayu,CHN,,,,,,,,,,0.5,,,,,,,,,,0.5
422,WIECZOREK Anna,POL,,,,,,,,0.5,,,,,,,,,,,,0.5
423,XU Tai Yang (Sunia),CAN,,,,,,,0.5,,,,,,,,,,,,,0.5
423,CHI Chelsea,USA,,,,,,,,,,0.5,,,,,,,,,,0.5
425,SALMINEN Anna,FIN,,,,,,,,,,,,0.0,,0.5,,,,,,0.5
426,XU Serena,CAN,,,,,,,,,,0.5,,,,,,,,,,0.5
427,CHEN Hailin,HKG,,,,,,,,,,,,0.0,0.0,0.5,,,,,,0.5
428,WANG QIAN,CHN,,,,,,,,,,0.5,,,,,,,,,,0.5
429,ARMAGANOVA Sofiya,RUS,,,,,,,,,,0.5,,,,,,,,,,0.5
430,HALEMBA Antonina,POL,,,,,,,,,,,0.0,,,0.5,,,,,,0.5
431,FOMINA Karolina,KAZ,,,,,,,,0.5,0.0,,0.0,,,0.0,,,,,,0.5
432,MILLETTE Marie-Frederique,CAN,,,,,,,0.5,,,,,,,0.0,,,,,,0.5
433,XIE Yuchen,CHN,,,,,,,,,,0.5,,,,,,,,,,0.5
434,SWENSON Nikita,USA,,,,,,,,,,0.5,,,,,,,,,,0.5
435,LANDO Tamara,ISR,,,,,,,,,,,,,,0.5,,,,,,0.5
435,AI Amy,CAN,,,,,,,0.5,,,,,,,,,,,,,0.5
435,WANG Zoe,USA,,,,,,,,,,0.5,,,,,,,,,,0.5
438,FONG Sum Sophia,HKG,,,,,,,,,,0.0,,,,0.5,,,,,,0.5
439,CHERCHESOVA Lilana,RUS,,,,,,,,,,0.5,,,,,,,,,,0.5
440,LEE Ivana,HKG,,,,,,,,,,0.5,,,,,,,,,,0.5
441,XIAO Nancy,CAN,,,,,,,0.5,,,,,,,,,,,,,0.5
442,LIU Jingqi,CHN,,,,,,,,,,0.5,,,,,,,,,,0.5
443,ZHAO Yan,CHN,,,,,,,,,,0.5,,,,,,,,,,0.5
444,LEE Jiyoung,KOR,,,,,,,0.25,,,,,,,0.25,,,,,,0.5
445,KAIDAROVA Viktoriya,KAZ,,,,,,,,0.25,,,0.25,0.0,,,,,,,,0.5
446,ION Theodora,ROU,0.0,,,,,,,,,,,0.375,,,,,,,,0.375
447,MISKO Dorina,HUN,0.0,,,,,,,,,,,0.375,,,,,,,,0.375
448,DRAGAN Alexandra,ROU,0.0,,,0.0,,,,,,,,0.375,,,,,,,,0.375
449,MULLEN Alisha,IRL,,,0.0,,0.0,0.0,0.0,,,,,0.375,,,,,0.0,,,0.375
450,KOZIELSKI Katharina,GER,,,,,,,,,,,,0.375,,,,,,,,0.375
451,RONASZEKI Izabella,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
452,CERVENKOVA Katerina,CZE,,,,,,,,,,,,0.375,,,,,,,,0.375
453,NASKARI Ariadni,GRE,,,,,,,,,,,,0.375,,,,,,,,0.375
454,CHEREDINTSEVA Astasia,RUS,,,,,,,,,,,0.0,0.375,,,,,,,,0.375
455,PORWOL Liliana,POL,,,,,,,,,,,,0.375,,,,,,,,0.375
456,JAKOBI Julia,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
457,MATSKEVITS Iris Maria,EST,,,,,,,,,,,,0.375,,,,,,,,0.375
458,KAHABKOVA Eliska,CZE,,,,,,,,,,,,0.375,,,,,,,,0.375
459,TOTH Jazmin,HUN,,,,,,,,,,,,0.375,,,,,,,,0.375
460,MELO Leonor,POR,,,,,,0.25,,,,,,,,,,,0.0,,,0.25
461,KELLER Camille,FRA,,0.25,,,,,,,,,,,,,,,,,,0.25
462,TORREGO Alicia,ESP,,,,,,0.25,,,,,,,,0.0,,,,,,0.25
463,NEDEVA Monika,BUL,0.25,,,,,,,,,,,,,,,,,,,0.25
464,JUANES CARRENO Monica,ESP,,,,,,0.25,,,,,,,,,,,,,,0.25
464,CHIAROLANZA Mariacarolina,ITA,,,,,0.25,,,,,,,,,,,,,,,0.25
466,SIMKUTE Ausrine,LTU,,0.25,,,0.0,,,,,,,,,,,,0.0,,,0.25
467,LEGROS Flora,FRA,,,0.0,,,0.25,,,,,,,,,,,,,,0.25
468,BADEA Erica,ROU,,,,0.25,,,,,,,,,,,,,,,,0.25
468,VARGA Flora Luca,HUN,0.25,,,,,,,,,,,,,,,,,,,0.25
470,SZARVAS Rita,HUN,0.25,,,0.0,,,,,,,,,,,,,,,,0.25
471,USHER Georgina,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
471,GINEX Eleonora,ITA,,,,,0.25,,,,,,,,,,,,,,,0.25
473,LEBRILLANT Manju,FRA,,,0.25,0.0,,,,,,,,,,,,,,,,0.25
474,CASALE Maria Roberta Agata,ITA,0.25,,0.0,,,,,,,,,,,,,,,,,0.25
475,BALLESTER Scarly,VEN,,0.25,,,,,,,,,,,,,,,,,,0.25
475,RODOPOULOU Nefeli,GRE,,,,,0.25,,,,,,,,,,,,,,,0.25
477,SHEVCHENKO Vasilisa,FIN,,,,0.0,0.25,,,,,,,,,,,,,,,0.25
478,GENIEZ Faustine,FRA,,0.25,,,,,,,,,,,,,,,,,,0.25
478,ZANOTTI Maddalena,ITA,0.25,,,,,,,,,,,,,,,,,,,0.25
480,CORNALBA Carlotta,ITA,,,,,,0.25,,,,,,,,,,,,,,0.25
480,KOZMA Laura Eva,HUN,0.25,,,,,,,,,,,,,,,,,,,0.25
482,KONING Ona,NED,,0.25,,,,,,,0.0,,,0.0,,,,,,,,0.25
483,CASAMENTI Anna,ITA,,,,0.25,,,,,,,,,,,,,,,,0.25
483,PAPP-SZILAGYI Luca,HUN,0.25,,,,,,,,,,,,,,,,,,,0.25
485,STILLER Natalja,DEN,,,,,0.25,,,,,,,,,,,,,,,0.25
485,CATINON Fanny,FRA,,,0.25,,,,,,,,,,,,,,,,,0.25
487,UMLAUF Beatrix,AUT,,0.0,,,0.25,,,,,,,0.0,,0.0,,,,,,0.25
488,MITZOVA Emma,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
489,TOMSA Ana,ROU,0.25,,,,,,,,,,,0.0,,,,,,,,0.25
490,TESTA Mariachiara,ITA,,,,0.25,,,,,,,,,,,,,,,,0.25
490,STEIMER Sophie,FRA,,,0.25,,,,,,,,,,,,,,,,,0.25
492,ARANDA Ariana,MEX,,0.25,,,,,,,,,,,,,,,,,,0.25
492,REDLICH Fenja Apsarah,DEN,,,,,0.25,,,,,,,,,,,,,,,0.25
492,DELFINO Lavinia,ITA,,,,0.25,,,,,,,,,,,,,,,,0.25
495,DE WIJN Day,NED,,0.0,0.25,0.0,0.0,,,,0.0,,,,,0.0,,,,,,0.25
496,CARROZZA Ginevra,ITA,,,,0.0,,0.25,,,,,,,,,,,,,,0.25
497,CRISTINA Aurora Maria,ITA,,,,0.25,,,,,,,,,,,,,,,,0.25
497,RAITERI Margherita,ITA,0.25,,,,,,,,,,,,,,,,,,,0.25
497,ALBERTSON Pia,NOR,,0.25,,,,,,,,,,,,,,,,,,0.25
500,VAN MARION Kirsten,CAN,,,,,0.0,0.0,0.0,,0.0,,,,,0.25,,,,,,0.25
501,YURTTAS Yagmur,TUR,0.0,,0.0,,,,,,,,0.25,,,,,,,,,0.25
502,ALHOSANI Zainab,UAE,,,,0.0,,,,0.25,,,,,,0.0,,,,0.0,0.0,0.25
503,ESTEVEZ ESCALONA Lola,ESP,,,,,,0.0,,,,,,,,0.25,,,,,,0.25
504,LIU Zixian,CHN,,,,,,,,,,0.25,,,,,,,,,,0.25
504,LESSOVSKAYA Polina,KAZ,,,,,,,,,,,0.25,,,,,,,,,0.25
506,SHI Chenlan,CHN,,,,,,,,,,0.25,,,,,,,,,,0.25
507,SPRINGER Sierra,USA,,,,,,,,,,0.25,,,,,,,,,,0.25
508,ROMAN Judith,FRA,,,,,,,,,,,,,,0.25,,,,,,0.25
