Rank,Name,Nat.,")AS(
amanaM
90/70",")AS(
araosimiT
90/02",")AS(
madretsmA
90/72",")AS(
orienaJ
ed
oiR
01/40",")AS(
eropagniS
01/11",")AS(
niromaS
01/81",")AS(
enolecraB
01/52",")A(
acrollaM
ed
amlaP
11/70",")A(
akoukuF
21/50",")A(
siraP
10/90",")PG(
niruT
20/60",")PG(
amiL
30/02",")A(
oriaC
40/61",")A(
lubnatsI
40/03",")PG(
iahgnahS
50/51",")ZHC(
najdibA
60/30",")ZHC(
amiL
60/71",")ZHC(
ynotnA
60/81",")ZHC(
ihleD
60/12",")MHC(
gnoK
gnoH
70/22",Points
211,IAQUINTA Emanuele,ITA,,1.0,,,,0.25,,,,,1.5,,,0.5,1.5,,,,,,4.75
212,TOFALIDES Alex,CYP,0.5,,,,,,,,,,,,,,,,,3.0,,1.25,4.75
213,SAAD Abdulkarim,BRN,0.5,,0.0,,,,,,,0.0,,,,,,,,,3.0,1.25,4.75
214,WOJTKOWIAK Adrian,POL,,,,,,,0.0,0.5,0.0,0.5,3.0,,0.25,0.5,,,,,,,4.75
215,CAMAYO GUERRERO Isaac,COL,,,,,,,,0.25,,0.25,0.375,0.75,,,,,3.0,,,,4.625
216,FEI Xiaotian,CHN,,,,,,,,,0.25,2.0,,,0.0,2.0,0.375,,,,,,4.625
217,CHANSIRITHORN Chaow-Khun,THA,,,,,0.25,,,,,,,,,,0.0,,,,3.0,1.25,4.5
218,BARBY Henrik,GER,,,0.25,,,,,2.0,1.0,0.5,0.75,,,0.25,0.0,,,,,,4.5
219,ALBLOOSHI Faris,UAE,,,,,,,,,,,,,0.25,0.0,,,,,3.0,1.25,4.5
220,SHEN Weiping,CHN,,,,,,,,,2.0,0.25,,,1.0,0.5,0.75,,,,,,4.5
221,SHIKINE Takahiro,JPN,,,,,,,,0.5,0.5,0.5,1.5,1.5,,,,,,,,,4.5
222,ALKAABI Khalifa,UAE,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.25,,,,,3.0,0.0,4.25
223,WANGPAISIT Notethakod,THA,,,,,0.5,,,,,,,,,,0.75,,,,3.0,0.0,4.25
224,SCHEMBRI Kruz,ISV,,,,,,,,,,,,,,,,,3.0,,,1.25,4.25
225,KAMALANATHAN Kaerlan Vinod,MAS,,,,,,,,,,,,,,,,,,,3.0,1.25,4.25
226,ZOU Tianyi,CHN,,,,,,,,,1.0,0.25,,,,,3.0,,,,,,4.25
227,LEE Yat Long,HKG,,,,,,,,0.25,0.5,0.5,0.0,,2.0,1.0,0.0,,,,,,4.25
228,DI TOMMASO Alessio,ITA,,,,,,,,0.5,2.0,,1.5,,0.25,,,,,,,,4.25
229,MINOTT Kamal,GBR,,,0.0,,,0.25,0.5,0.25,0.25,,0.375,1.5,0.25,1.0,0.75,,,,,,4.125
230,CHOI Chi Lok,HKG,,,,,,,,,2.0,0.25,1.5,,,,0.375,,,,,,4.125
231,BRUNA Mathieu,FRA,,3.0,,,,,0.0,,,1.0,,,,,,,,,,,4.0
232,IVANOV Alexey,RUS,,,,,,,,1.0,0.5,,,,,1.0,1.5,,,,,,4.0
233,ESPINOZA Joaquin,PER,,,,,,,,0.0,0.25,0.25,0.0,0.0,,,0.375,,3.0,,,0.0,3.875
234,FRUHAUF Benjamin,HUN,,,,,,0.0,,2.0,0.25,0.25,0.75,,0.5,0.25,0.375,,,,,,3.875
235,HUSSEIN Khaled Aref,QAT,0.5,,,,,,,0.0,,0.0,,,0.25,0.0,,,,,3.0,0.0,3.75
236,WILLIAMS David,GBR,,0.0,0.0,,,0.5,0.0,0.25,0.25,0.5,1.5,0.0,,0.5,0.75,,,,,,3.75
237,ALAMIRI Ali,BRN,0.5,,,,,,,,,0.25,,,,,,,,,3.0,0.0,3.75
238,ANANE Zakariya,FRA,,,0.0,,,,,,,2.0,,,,1.0,0.75,,,,,,3.75
239,RABTSAU Yahor,BLR,,,,,,,,,,,,,,0.25,0.375,,,3.0,,,3.625
240,PENMAN Callum,GBR,,,0.0,,,,0.0,,0.5,0.25,1.5,,1.0,0.25,0.375,,,,,,3.625
241,UENO Yuto,JPN,,,,,,,,,0.5,1.0,0.375,0.75,1.0,,,,,,,,3.625
242,PEREZ Nathaniel,PHI,,,,,1.0,,,,,0.0,,,,,,,,,0.0,2.5,3.5
243,DIJKSTRA Michael,NED,,,0.5,,,0.0,,,,,,,,,,,,3.0,,,3.5
244,SANASAM Hemash Singh,IND,0.25,,,,,,,,,,,,0.25,,0.0,,,,3.0,0.0,3.5
245,LONSDALE William,GBR,,,0.0,,,0.0,,0.0,,0.25,1.5,,,0.25,1.5,,,,,,3.5
246,GRAHAM Roy,USA,,,,,,,,,,,,,0.5,,3.0,,,,,,3.5
247,OISHI Riki,JPN,,,,,,,,2.0,0.5,1.0,,,,,,,,,,,3.5
248,DE BADTS Paul Antoine,FRA,,,,,,,,,,2.0,,1.5,,,,,,,,,3.5
249,MARCHETTI Franco,ARG,,,,,,,,,,,0.375,,,,,,3.0,,,,3.375
250,THIAN Aron,AUS,,,,,,,,,,0.0,0.0,,,,0.375,,,,3.0,0.0,3.375
251,GUENNOU Louis,GBR,,0.0,0.0,,,0.0,0.5,,0.0,0.25,0.75,1.5,0.25,0.25,0.0,,,,,,3.25
252,NORDIN Saif,MAS,,,,,0.25,,,,,,,,,,0.0,,,,3.0,0.0,3.25
253,WAKIM Philippe,LBN,,,0.0,,,,,0.0,,0.25,0.0,,,,0.0,,,,3.0,0.0,3.25
254,MAEDA Masashi,JPN,,,,,,,,,0.25,,,,,,3.0,,,,,,3.25
255,YUEN Chi Shun Michael,HKG,,,,,,,,1.0,0.25,0.25,0.0,,0.0,0.25,1.5,,,,,,3.25
256,CHEONG Chong Kio,MAC,,,,,,,,,,,,,,,0.75,,,,,2.5,3.25
257,RIEGER Laurenz,GER,,,0.0,,,,,0.25,0.5,0.5,0.375,1.5,0.0,0.25,0.0,,,,,,3.125
258,AWADH Ahmad Mohammad,KUW,3.0,,,,,,,,,,,,,,,,,,,,3.0
259,CANO ACEVEDO Marcos,PUR,,,,,,,,,,,,,,,,,3.0,,,,3.0
260,FUKUDA Alessio,PER,,,,,,,,,,,,,,,,,3.0,,,,3.0
261,BARRERA Marcelo,GUA,,,,,,,,,,,,,,,,,3.0,,,,3.0
262,FELIPE Shawn Nicollei,PHI,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
263,HABEEB Musawi,IRQ,,,,,,,,,,,,,,,,,,,3.0,,3.0
264,LIN Weile,CHN,,,,,,,,,,,,,,,3.0,,,,,,3.0
265,PATIL Tejas Manoj,IND,,,,,,,,,,,,,,,0.0,,,,3.0,0.0,3.0
266,IKAMI Shumpei,JPN,,,,,,,,,2.0,,,,,1.0,,,,,,,3.0
267,BADROEL RIZWAN Uzair Zafran,MAS,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
268,MOONEY GRAND Samuel,AUS,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
269,MOHAMED Murad,EGY,,,,,,,,,,2.0,,0.75,0.25,,,,,,,,3.0
270,ADITYA Aditya,IND,,,,,,,,,,,,,,,0.0,,,,3.0,0.0,3.0
271,TAKUIRA-MITA Jacob,NZL,,,,,,,,,,,,,,,,,,,3.0,,3.0
272,DE CRISTOFARO Mattia,ITA,,,,,,1.0,,,,,1.5,,,,0.375,,,,,,2.875
273,RHYS POLLITT Rafael,GBR,,0.25,0.25,,,,0.0,0.0,0.0,0.5,0.375,0.0,0.25,0.25,1.5,,,,,,2.875
274,MO Ziwei,CHN,,,,,,,,,,,,,2.0,0.5,0.375,,,,,,2.875
275,KONTOCHRISTOPOULOS Nikolaos,GRE,,,,,,0.0,,0.25,,0.0,0.375,,1.0,0.25,0.375,,,0.0,,0.625,2.875
276,XIAO Bosen,CHN,,,,,,,,,0.25,0.25,,,0.5,0.25,1.5,,,,,,2.75
277,BECKMANN Otto,GER,,,0.0,,,,0.0,,,,,,0.25,2.0,0.375,,,,,,2.625
278,ROBINET Lucas,FRA,,,0.5,,,,,,,0.25,,,,1.0,0.75,,,,,,2.5
279,TRAITEL CRYSTAL Ran,ISR,,,,,,0.0,,,,,0.0,,,,,,,0.0,,2.5,2.5
280,BEM Maciej,POL,,,,,,,,0.5,,,,,,2.0,,,,,,,2.5
281,SUGAYA Hiroto,JPN,,,,,,,,,1.0,,,,1.0,0.5,,,,,,,2.5
282,LEONG Chit Seong,MAC,,,,,,,,,,,,,,,0.0,,,,,2.5,2.5
283,LAZARENKO Ievgen,UKR,,0.5,0.25,,,0.25,0.0,0.0,,0.25,0.375,,0.25,1.0,,,,,,,2.375
284,CHOI Jiwoo,KOR,,,,,,,,,2.0,,0.375,0.0,,,,,,,,,2.375
285,KUO Chang-Chieh,TPE,,,,,0.25,,0.0,,0.25,0.25,0.375,0.75,0.5,,0.375,,,,,,2.25
286,GAO Tian,CHN,,,,,,,,,0.25,2.0,,,,,,,,,,,2.25
287,FALCHETTO Lauro,AUT,,0.0,,,,0.0,,0.0,,0.25,1.5,,,0.5,,,,,,,2.25
288,LEFORT Enzo,FRA,,,,,,,,,,,0.75,,,,1.5,,,,,,2.25
289,KOZAK Mateusz,POL,,,,,,,,0.25,1.0,1.0,0.0,,0.0,0.0,,,,,,,2.25
290,LEUNG Kwok Fung,HKG,,,,,,,,0.5,0.0,0.5,0.75,,0.5,0.0,,,,,,,2.25
291,KANGABAM Abhinash Meitei,IND,2.0,,,,,,,,,0.0,,,,,,,,,,,2.0
292,CICCARELLI Robert,AUS,,,,,2.0,,,,,,,,,,,,,,,,2.0
292,ARJONI Aldo Pratama,INA,,,,,2.0,,,,,,,,,,,,,,,,2.0
294,BAGDANY Albert,HUN,,,,,,0.25,,0.25,,0.25,0.75,,,0.5,,,,,,,2.0
295,CAI Jinhui,CHN,,,,,,,,,,,,,,2.0,,,,,,,2.0
296,HAYASHI Shoren,JPN,,,,,,,,,2.0,,,,,,,,,,,,2.0
297,CHEN Ziyuan,CHN,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0
298,WANG Ziyu,USA,,,,,,,,,,,,1.5,0.5,,,,,,,,2.0
299,TANG Yuncong,CHN,,,,,,,,,1.0,,,,,1.0,0.0,,,,,,2.0
300,WONG Chit Daniel,HKG,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0
301,GERGELY Zoltan,HUN,,0.5,,,,0.5,,0.25,,0.25,0.375,,,0.25,,,,,,,1.875
302,YUEH Che-Hao,TPE,,,,,,,,0.5,0.25,0.0,0.375,0.75,,,0.0,,,,,,1.875
303,KATHIRESAN Bibish,IND,0.25,,,,1.0,,,,0.5,0.0,0.0,,0.0,,,,,,,,1.75
304,VELLA Rosario,GER,,,1.0,,,0.0,,0.25,0.0,,,,0.25,0.25,0.0,,,,,,1.75
305,ZSOGON Andor,HUN,,0.25,,,,1.0,,0.5,,,,,,,,,,,,,1.75
306,MASCIOLI Alberto,GBR,,0.0,0.0,,,,0.0,0.25,,,,0.75,0.0,,0.75,,,,,,1.75
307,TANAKA Takushin,JPN,,,,,,,,0.0,0.25,,,,,,1.5,,,,,,1.75
308,LU Hengrui,CHN,,,,,,,,,0.25,,,,0.5,1.0,0.0,,,,,,1.75
309,MOHAMED Amir,EGY,,,,,,,,,,0.25,,0.0,0.25,,,,,,,1.25,1.75
310,ADOUL Raian,ITA,,,,,,0.25,1.0,,,,0.375,,,,,,,,,,1.625
311,LIU Zixian,CAN,,,,,,,,,,0.25,0.375,0.75,,0.25,0.0,,,,,,1.625
312,VELLUTI Pietro,ITA,,,1.0,,,,0.5,,,,,,,,,,,,,,1.5
313,DAHAN Yali Eliyahu,ISR,,,,,,0.25,0.5,0.5,,0.25,0.0,,,,,,,,,,1.5
314,DYRDA Yelyzar,UKR,,0.25,,,,0.0,0.0,,0.25,0.25,0.75,,,0.0,,,,0.0,,,1.5
315,GAUTIER-LOFTUS Leon,IRL,,,0.0,,,,0.25,0.25,,0.25,0.75,,,,,,,0.0,,,1.5
316,IANDOLO Francesco Pio,ITA,,,0.0,,,0.0,,,,,1.5,,,,,,,,,,1.5
317,MBAYE Djibril,ITA,,,,,,,,,,,1.5,,,,,,,,,,1.5
318,JEON Caleb,USA,,,,,,,,,,,,1.5,,,,,,,,,1.5
319,LIAN Yifeng,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
320,JIA Hanming,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
321,MARIN Angel,MEX,,,,,,,,,,,,1.5,,,,,,,,,1.5
322,KUCEBA Vitalijs,LAT,,,,,,,,,,,,1.5,,,,,,,,,1.5
323,LIU Boran,CHN,,,,,,,,,,,,,,,1.5,,,,,,1.5
324,NEMEC Jaden,AUT,,0.5,,,,0.0,,0.25,,0.0,0.375,,,0.25,,,,,,,1.375
325,KOROM Erik,HUN,,1.0,,,,0.0,,0.25,,0.0,,,,0.0,,,,,,,1.25
326,KORETSKYI Yanislav,UKR,,0.0,0.0,,,0.25,,0.0,,,0.0,,,1.0,,,,,,,1.25
327,CHERKASHYN Andrii,UKR,,0.0,0.0,,,0.0,,0.5,,,,0.75,,,,,,,,,1.25
328,ALVAREZ PEREZ Adrian Alejandro,DOM,,,,,,,,,,,,0.0,,,,,0.0,,,1.25,1.25
329,GKIKAS Dimitrios,GRE,,,,,,,,1.0,,0.25,,,,,,,,,,,1.25
330,KISELEV Egor,RUS,,,,,,,,0.25,1.0,,,,,,,,,,,,1.25
331,SOH Julian,SGP,,,,,,,,,0.0,0.25,0.375,,0.25,,0.375,,,,,,1.25
332,HO Jia Le Sean,SGP,,,,,0.5,,,,,,0.375,,0.25,,0.0,,,,,,1.125
333,CHUCHUKALO Dmytro,UKR,,0.0,0.25,,,0.0,,0.25,0.0,0.25,0.375,,,,,,,0.0,,,1.125
334,SACHARCZUK Bartosz,POL,,0.0,,,,,,,,0.25,0.375,,,0.5,,,,,,,1.125
335,KASKOW Piotr,POL,,,,,,,0.0,0.25,,0.0,0.375,,0.5,,,,,,,,1.125
336,TOTUSEK Marek,CZE,,,,,,0.0,,,,0.0,0.375,0.75,,,,,,,,,1.125
337,KIM Daniel Yunjun,CAN,,,,,,,,0.5,,0.25,0.375,,,,,,,,,,1.125
338,ESSAM Mohamed,EGY,,,,,,,,,,,,,0.25,0.5,0.375,,,,,,1.125
339,OROSZLAN Daniel,CAN,,,,,,,,,,,0.375,0.75,,,,,,,,,1.125
340,ALZAMER Eyas,JOR,1.0,,,,,,,,,,,,,,,,,,,,1.0
341,MELIAN Fernando,BRA,,,,1.0,,,,,,,,,,,,,,,,,1.0
342,NOGUEIRA Pedro,BRA,,,,1.0,,,,,,,,,,,,,,,,,1.0
343,LEMBERGER Eitan,ISR,,,0.0,,,0.5,,,,0.5,0.0,,,,,,,,,,1.0
344,KAIN Martin,AUT,,0.25,0.0,,,0.25,0.0,0.0,,0.25,0.0,,0.25,0.0,,,,,,,1.0
345,LEYNEN DUBUS Victor,BEL,,,0.0,,,,,0.0,,0.25,0.0,,0.5,0.25,,,,0.0,,,1.0
346,WATSON Guillaume,FRA,,,0.0,,,,,,,1.0,,,,,,,,,,,1.0
347,BERGERT Michael,GER,,,0.0,,,,0.0,0.0,0.5,0.25,,,,0.25,0.0,,,,,,1.0
348,TAKAHASHI Toi,JPN,,,,,,,,,1.0,,,,,,,,,,,,1.0
349,GENG Xikai,CHN,,,,,,,,,,1.0,,,,,,,,,,,1.0
350,KAM Cheuk Hang,HKG,,,,,,,,0.25,0.0,0.0,0.0,,0.5,0.25,,,,,,,1.0
351,XU Xinhao,CAN,,,,,,,,0.0,0.0,0.25,,0.75,,,,,,,,,1.0
352,HOOSHI Jayden,USA,,,,,,,,0.5,0.5,,,,,,,,,,,,1.0
353,CHEN Yining,CHN,,,,,,,,,0.5,0.5,,,,,,,,,,,1.0
354,LI Toby Muhua,CAN,,,,,,,,,0.0,0.25,0.75,0.0,,,,,,,,,1.0
355,PERESSINI TORREGROSA Esteban,ESP,,,,,,,,0.5,0.0,0.25,0.0,,0.0,0.25,0.0,,,,,,1.0
356,LI Edward,CAN,,,,,,,,,0.0,0.25,0.375,0.0,,,0.375,,,,,,1.0
357,NEO Tze Yang,SGP,,,,,0.5,,,,,,,,,,0.375,,,,,,0.875
358,VALLADARES Maximiliano,MEX,,,,0.5,,,,,,,0.375,0.0,,,,,,,,,0.875
359,STELLA Alessandro,ITA,,0.0,,,,0.5,,,,,0.375,,,,,,,,,,0.875
360,ELIAZ Adam,ISR,,,,,,0.0,0.0,0.25,,0.25,0.375,,,,,,,,,,0.875
361,KORZHOVOI Maksym,UKR,,0.0,,,,0.0,0.0,,0.0,,0.375,,,0.5,,,,,,,0.875
362,LACASTA Sergio,ESP,,,,,,,0.0,0.25,,0.25,0.375,,,0.0,0.0,,,,,,0.875
363,MARCOS PERAL Alvaro,ESP,,,,,,,0.0,0.5,,0.0,0.375,,,0.0,,,,,,,0.875
364,FRITSCHE Jan,GER,,,,,,,,0.25,0.25,,0.375,,,,,,,,,,0.875
365,NEMETH Andras,HUN,,0.5,,,,0.25,,,,,,,,,,,,,,,0.75
366,HOEFLER Julius,GER,,,0.25,,,,0.25,,,,,,0.0,0.25,,,,,,,0.75
367,CHIU Joel Ka Jyn,SGP,,,,,0.25,,,,0.25,0.25,,,,,,,,,,,0.75
368,BENYUS Attila,HUN,,0.0,,,,0.25,,0.0,,0.25,0.0,,,0.25,,,,,,,0.75
369,VARGAS ESCOBAR Tomas,COL,,,,,,,,,,0.0,0.75,,,,,,0.0,,,,0.75
370,JONES Maxwell,GBR,,0.0,0.0,,,0.0,0.0,,,0.0,,0.75,,,,,,,,,0.75
371,WEI Qiancheng (Matt),CAN,,,,,,,,,,,,,,,0.75,,,,,,0.75
372,DEGROOT Blake,CAN,,,,,,,0.0,0.25,,0.25,0.0,,0.25,0.0,,,,,,,0.75
373,CHOI Hyeokjun,KOR,,,,,,,,,,,,,,,0.75,,,,,,0.75
374,LAI ZEXIN,CHN,,,,,,,,,,,,,,,0.75,,,,,,0.75
375,DESERANNO Don Jeidus,USA,,,,,,,,,,,,0.75,,,,,,,,,0.75
376,NARANJO Francisco,CHI,,,,,,,,,,,,0.75,,,,,,,,,0.75
377,CONTICINI Mattia,ITA,,,,,,,,,,,0.75,,,,,,,,,,0.75
378,SOTO Ulises,MEX,,,,,,,,,,,,0.75,,,,,,,,,0.75
379,MARCOS Enrique,ESP,,,,,,,0.0,0.25,,0.25,0.0,,,0.25,,,,,,,0.75
380,MATIASH Daniil,UKR,,0.25,0.0,,,0.0,,,,,0.375,,,0.0,,,,,,,0.625
381,GIANESE Mattia,ITA,,,0.25,,,0.0,,,,,0.375,,,,,,,,,,0.625
382,KIRTAY Kivanc,TUR,,,,,,,,,,,0.375,,0.0,0.25,,,,0.0,,,0.625
383,KUCHTA Leopold Marc,SVK,,,,,,0.0,,0.25,,,0.375,,,,,,,,,,0.625
384,ROKHKIND Eitan,ISR,,,,,,0.0,0.0,0.0,,0.25,0.375,,,,,,,,,,0.625
385,FERNANDEZ Yerbinson,VEN,,,,,,,0.0,0.0,,0.25,0.375,,,0.0,,,,,,,0.625
386,LAM Pak Kio,MAC,,,,,,,,,,,,,,,0.0,,,,,0.625,0.625
387,LAO Scott,ISV,,,,,,,,,,,,,,,,,,,,0.625,0.625
388,GIANNOS RIZOS Ilias,GRE,,,,,,,,,,0.0,,,,,,,,,,0.625,0.625
389,LEE Seoungbin,KOR,,,,,,,,,0.25,,0.375,,,,,,,,,,0.625
390,SEMBACH Philipp,GER,,,,,,,,,,0.25,0.375,,,,,,,,,,0.625
391,ETTELT Maximilian,AUT,,,,,,,,,,0.25,0.375,,,,,,,,,,0.625
392,GU Daniel,CAN,,,,,,,,,0.0,0.25,0.375,,,,,,,,,,0.625
393,COLLINI Nicolo',ITA,,,0.0,,,0.5,,,,,,,,,,,,,,,0.5
394,VIANNA Guilherme,BRA,,,,0.5,,,,,,,,,,,,,,,,,0.5
395,NAGIMOV Marsel,RUS,,,0.0,,,,0.5,,,,,,,,,,,,,,0.5
396,SHIMBO Heitor,BRA,,,,0.5,,,,,,,,,,,,,,,,,0.5
396,HUANG Lemuel Jing Yao,SGP,,,,,0.5,,,,,,,,,,,,,,,,0.5
398,PACHECO Ricardo,BRA,,,,0.5,,,,,,,,0.0,,,,,,,,,0.5
399,DROEGE Oliver,GER,0.5,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,0.5
400,HOIDA Danyil,UKR,,,,,,0.5,,,,,,,,,,,,,,,0.5
401,LUCCHETTI Santiago,ARG,,,,0.5,,,,,,,,,,,,,,,,,0.5
402,CARR Ben,IRL,,,,0.5,,0.0,,,,,,,,,,,,,,,0.5
403,AL BUSAIDI Ali,OMA,0.5,,,,,,,,,,,,,,,,,,,,0.5
403,ANATRELLA Malo,FRA,,,0.5,,,,,,,,,,,,,,,,,,0.5
405,TAN Ye Kai,SGP,,,,,0.5,,,,0.0,,0.0,,,,0.0,,,,,,0.5
406,HOFMEISTER Andre,BRA,,,,0.5,,,,,,0.0,0.0,,,,,,,,,,0.5
407,MAZAHERI Fletcher,USA,0.25,0.25,0.0,,,0.0,,,,,,,,,,,,,,,0.5
408,BEL Romain,FRA,,,,,,,0.25,,,0.25,,,,,,,,,,,0.5
409,STRANGE Oliver,GBR,,0.25,0.0,,,,,0.25,,0.0,0.0,,,,,,,,,,0.5
410,ELGHAYESH Ayman,EGY,0.25,,,,,,,0.0,,,,,0.0,0.25,,,,,,,0.5
411,GROETEKE Sebastiano,GER,,,0.0,,,,0.25,,,,,,0.25,,,,,,,,0.5
412,ASTASHOV Mykyta,UKR,,0.0,,,,0.0,,,0.0,,0.0,,,0.5,,,,,,,0.5
413,GAO Yixing,ESP,,,,,,,0.0,0.25,,0.25,,,,,,,,,,,0.5
414,MADER Joffrey,FRA,,,,,,,,,,0.5,,,,,,,,,,,0.5
415,HAYASHIKAWA Rui,JPN,,,,,,,,,0.5,,,,,,,,,,,,0.5
416,CASTRO Felipe,CHI,,,,,,,,,,,,0.0,0.5,0.0,0.0,,,,,,0.5
417,SPICHIGER Adrien,FRA,,,,,,,,,0.0,0.5,,,,,,,,,,,0.5
418,BUDAHAZY Ambrus,HUN,,,,,,,,,,,,,,0.5,,,,,,,0.5
419,MARINO Nicolas,ARG,,,,,,,,0.25,,0.25,,,,,,,,,,,0.5
420,HUNG Shao-Jie,TPE,,,,,0.0,,,,0.0,,,,,,0.375,,,,,,0.375
421,GUMA Arnau,ESP,,,,,,,0.0,0.0,,0.0,0.0,,,,0.375,,,,,,0.375
422,HURIN Mykhailo,UKR,,0.0,,,,0.0,0.0,,,,0.375,,,,,,,,,,0.375
423,USICCO Leonardo,ITA,,,,,,,0.0,,,,0.375,,,,,,,,,,0.375
424,MUKHOPAD Hlib,UKR,,0.0,,,,0.0,0.0,,,,0.375,,,,,,,,,,0.375
425,RENCRICCA Francesco,ITA,,,0.0,,,,,,,,0.375,,,,,,,,,,0.375
426,CHEN Jianghe,CHN,,,,,,,,,,,,,,,0.375,,,,,,0.375
427,LIN Youlong,CHN,,,,,,,,,,,,,,,0.375,,,,,,0.375
428,MA Rin,KOR,,,,,,,,,,,0.375,,,,,,,,,,0.375
429,SUKHALET Yahor,BLR,,,,,,,,,,,0.375,,,,,,,,,,0.375
430,WELCH Kyle,IRL,,,,,,,,,,0.0,0.375,,,,,,,,,,0.375
431,CHEN Nuo,CHN,,,,,,,,,,,0.375,,,,,,,,,,0.375
432,TANG Tristan,SGP,,,,,0.25,,,,,,,,,,0.0,,,,,,0.25
433,ELDEEB Adham,QAT,0.25,,,,,,,,,,,,0.0,0.0,,,,,,,0.25
434,LIM Jonathan Tzien Yih,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
435,DOUNGPATRA Sitsadipat,THA,,,,,0.25,,,,,,,,,,,,,,,,0.25
435,CECCOLINI Luca,ITA,,,0.25,,,,,,,,,,,,,,,,,,0.25
437,NGUYEN Minh Quang,VIE,,,,,0.25,,,,,,,,,,,,,,,,0.25
437,KONSAM Denny Singh,IND,0.25,,,,,,,,,,,,,,,,,,,,0.25
439,YONG Caleb,SGP,,,,,0.25,,,,0.0,0.0,0.0,,,,,,,,,,0.25
440,ABU TOUQ Faris,JOR,0.25,,,,,,,,,,,,,,,,,,,,0.25
441,CHENG Darius Yu Bin,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
442,MOHAMMAD Abdulwahab,KUW,0.25,,,,,,,,,,,,,,,,,,0.0,,0.25
443,CRIST Numa,FRA,,,0.0,,,,0.25,,,,,,,,,,,,,,0.25
444,ALATAWI Hamad,BRN,0.25,,,,,,,,,0.0,,,,,,,,,,0.0,0.25
445,SIGNORELLO Tommaso,AUS,,,,,0.25,,,,,,,,,,,,,,,,0.25
446,STANLEY Mason,USA,,,,,,0.0,0.25,,,,,,,,,,,,,,0.25
447,KESKES Ahmed,OMA,0.25,,,,,,,,,,,,,,,,,,,0.0,0.25
448,POLISHEV Danail,BUL,,0.25,,,,,,,,,,,,,,,,,,,0.25
449,PALMERINI Riccardo,ITA,,0.25,,,,,,,,,,,,,,,,,,,0.25
449,ALZAMEL Faisal,KUW,0.25,,,,,,,,,,,,,,,,,,,,0.25
451,OROVECZ Gergely,HUN,,0.25,,,,0.0,,,,,,,,,,,,,,,0.25
452,BESNAULT Jean-Charles,FRA,,,0.25,,,,,,,,,,,,,,,,,,0.25
452,AL SHUAIBI Saeed,OMA,0.25,,,,,,,,,,,,,,,,,,,,0.25
452,CHU Hon Lam,HKG,,,,,0.25,,,,,,,,,,,,,,,,0.25
455,ROZMUS Jakub,SVK,,0.25,,,,0.0,,,,,,,,,,,,,,,0.25
456,AL AZIZI Ammar,OMA,0.25,,,,,,,,,,,,,,,,,,,,0.25
456,LEE JOVAN KAI WEN,SGP,,,,,0.25,,,,,,,,,,,,,,,,0.25
458,VLADAR Adam,HUN,,0.25,,,,0.0,,,,,,,,,,,,,,,0.25
459,LAM Yeung Hoi,HKG,,,,,0.25,,,,,,,,,,,,,,,,0.25
460,PNIVCHUK Bohdan,UKR,,0.0,,,,0.0,,,0.0,,,,,0.25,,,,,,,0.25
461,RENNER Moritz,GER,,,0.0,,,0.0,,,,0.25,0.0,,,,,,,,,,0.25
462,HUTHMANN Erik,AUT,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.25,,,,,,,0.25
463,JURAVLE Luca,ROU,,0.0,,,,,,,,0.0,0.0,,,0.25,,,,,,,0.25
464,KAVECKY Max,CZE,,,0.0,,,0.0,,0.25,,0.0,0.0,,,,,,,,,,0.25
465,ZSIGMOND Daniel,HUN,,0.0,0.0,,,0.0,,0.0,,0.25,,,,,0.0,,,,,,0.25
466,KVERNES Isak,SWE,,,0.0,,,,,0.25,,0.0,,,,,,,,,,,0.25
467,ZAKRZEWSKI Jan,POL,,,,,,,0.0,,,,,,0.25,,,,,,,,0.25
468,KIM Minhyeok,KOR,,,,,,,,,0.25,,,0.0,,,,,,,,,0.25
469,FUNAMOTO Seishiro,JPN,,,,,,,,,0.25,,,,,,,,,,,,0.25
470,KHAN Mohd Ismile,IND,,,,,,,,,,0.25,,,,,,,,,,,0.25
471,LU Youshi,CHN,,,,,,,,,,,,,,0.25,,,,,,,0.25
472,KOIKE Yutaro,JPN,,,,,,,,,0.25,,,,,,,,,,,,0.25
473,ROGER Constant,FRA,,,,,,,,,,0.25,,,,,,,,,,,0.25
473,KIM Siwoo,KOR,,,,,,,,,,,,,,0.25,,,,,,,0.25
475,ELICE Meddy,FRA,,,,,,,,,,0.25,,,,,,,,,,,0.25
476,SHAWKY Youssef,EGY,,,,,,,,,,,,,0.25,,,,,,,,0.25
477,ASSEM Karim,EGY,,,,,,,,,,,,,0.25,,,,,,,0.0,0.25
