Rank,Name,Nat.,")AS(
aimrU
90/60",")AS(
kivajkyeR
90/12",")AS(
dnaG
90/82",")AS(
grebmeruN
01/11",")AS(
lubnatsI
01/81",")AS(
aifoS
01/62",")A(
reglA
11/60",")PG(
snaélrO
21/50",")PG(
sinuT
10/01",")A(
ytiC
ekaL
tlaS
10/32",")A(
tsepaduB
30/72",")A(
audaP
40/71",")PG(
noehcnI
50/10",")A(
oriaC
50/22",")ZHC(
najdibA
60/20",")ZHC(
amiL
60/51",")ZHC(
ynotnA
60/71",")ZHC(
ihleD
60/91",")MHC(
gnoK
gnoH
70/42",Points
226,MARCIANO Giorgio,ITA,,,,,,,,,,,,4.0,,,,,,,,4.0
227,RAJA Arnav,AUS,,,,,,,,0.75,,0.25,,,0.0,,,,,3.0,,4.0
228,REALE Leonardo,ITA,,,,,,,,,,,,2.0,,2.0,,,,,,4.0
229,BONSANTO Francesco,ITA,,,,,,,,,,2.0,,2.0,,,,,,,,4.0
230,PETROVSKIY Oleg,RUS,,,,,,,,,,,2.0,0.5,1.5,,,,,,,4.0
231,PARK Taeyoung,KOR,,,,,,,0.25,3.0,,,,,0.75,,,,,,,4.0
232,BERRAK Candeniz,TUR,2.0,,,,0.5,,1.0,,,,,,,0.25,,,,,,3.75
233,WANG Hengyu,CHN,,,,,,,,,,0.25,0.0,0.25,3.0,0.25,,,,,,3.75
234,VECCIA SCAVALLI Lupo Giorgio Giovanni,ITA,,,,,,,,0.0,0.0,0.5,0.25,2.0,,1.0,,,,,,3.75
235,ALHILFI Mohammed,IRQ,0.5,,,,,,,,,,,,,,,,,3.0,,3.5
236,CORTEZ YANCOSEK Cristoher Elias,ECU,,0.5,0.0,,,0.0,,,,,0.0,,,,,3.0,,,,3.5
237,TAN Marcus Maximilian,SGP,,,,,0.5,,,,,,,,,,,,,3.0,0.0,3.5
238,XU Haojun,CHN,,,,,,,,,,1.0,0.5,2.0,0.0,,,,,,,3.5
239,MATSUNAGA Kengo,JPN,,,,,,,2.0,1.5,,,,,,,,,,,,3.5
240,CHEN Yijun,CHN,,,,,,,,,,1.0,1.0,0.0,1.5,,,,,,,3.5
241,CHOUEIRY Michel,FRA,,,1.0,,,,,1.5,,,,,0.75,,,,,,,3.25
242,BADSER Lakshay,IND,,,,,,,,,,,,,,0.25,,,,3.0,0.0,3.25
243,POSY Daniel Henry,HAI,,,,,,0.0,,,,,,0.25,,,,3.0,,,0.0,3.25
244,FRANCIOSA Daniele,ITA,,,,,,,1.0,,,0.5,,0.25,1.5,,,,,,,3.25
245,ABZHAL Bexultan,KAZ,,,,,,,,,1.5,,1.0,0.5,,0.25,,,,,,3.25
246,CAGLAYAN Kerem,TUR,,,0.5,0.0,1.0,,0.5,0.0,0.75,,0.25,0.25,,,,,,,,3.0
247,KODIROV Zuhriddin,UZB,,,0.25,,0.0,,0.5,0.75,1.5,,,,,,,,,,,3.0
248,PEREZ PASTORINO BROCCOLA Santino,ARG,,,,,,,,,,,,,,,,3.0,,,,3.0
249,CHACON URDININEA Carlos Fernando,BOL,,,,,,,,,,,,,,,,3.0,,,,3.0
250,ROMERO FIGUEREDO Rafael German,BOL,,,,,,,,,,,,,,,,3.0,,,,3.0
250,RESTREPO MONSALVE Wilber Alonso,COL,,,,,,,,,,,,,,,,3.0,,,,3.0
252,LEE Yehun,KOR,,,,,,,,,,,,,3.0,,,,,,,3.0
253,PACHECO CORTES Juan Sebastian,COL,,,,,,,,,,,,,,,,3.0,,,,3.0
254,RUBINA Salvador,PER,,,,,,,,,,,,,,,,3.0,,,,3.0
255,ESTRADA Jhoakim,PER,,,,,,,,,,,,,,,,3.0,,,,3.0
256,ESCOBAR LANDAVERDE Guillermo Ernesto,ESA,,,,,,,,,,,,,,,,3.0,,,,3.0
257,SOH Dickson Ming Hao,SGP,,,0.0,,0.0,,,,,,,,0.0,,,,,3.0,,3.0
258,FELIPE Khiane Nash,PHI,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
259,OOI Shane Jun Ming,SGP,,,,,0.0,,,,,,,,,,,,,3.0,,3.0
260,WANG Nicolas,USA,,,,,,,1.0,,,2.0,,,0.0,,,,,,,3.0
261,KO Daniel,NZL,,,,,,,,,,,,,,,,,,3.0,,3.0
262,AL MAAZMI Hamid,UAE,,,,,,,,,,,,,0.0,0.0,,,,3.0,,3.0
263,VILLANUEVA Eunice Daniel,PHI,,,,,,,,,,,,,,,,,,3.0,0.0,3.0
264,DURAN GOYO Simon,VEN,,,,,,,0.0,,,,0.25,,,0.25,,0.0,,,2.5,3.0
265,RYU Taemin,KOR,,,,,,,,,,,,,3.0,,,,,,,3.0
266,CHAN Cyrus Man Hei,HKG,,,,,,,,,,,,,3.0,,,,,,,3.0
267,BERGER Noe,FRA,,,,,,,,0.75,,0.25,0.25,,0.75,1.0,,,,,,3.0
268,LIU Vince,BRA,,,,,,,,0.0,,0.5,,,,,,,,,2.5,3.0
269,LIN Daniel,TPE,,,,,,,,,,1.0,1.0,0.25,0.75,,,,,,,3.0
270,WONG Tzer Chyuan,MAS,,,,,,,,0.375,,0.0,2.0,0.25,0.0,0.25,,,,,,2.875
271,GONZALEZ-CARVAJAL MARTINEZ Joaquin,ESP,,,,,,,2.0,0.375,0.0,,0.5,0.0,,,,,,,,2.875
272,TRUKHMANOV Mark,ARG,,,,,,,,0.375,,,,,,,,,,,2.5,2.875
273,DENNER Maximilian,USA,,,,,,,0.5,0.375,0.75,1.0,,0.25,,,,,,,,2.875
274,ARPINO Alberto,ITA,,,0.0,0.5,2.0,,,,,,,0.0,,,,,,,,2.5
275,ZAKUTNII Stanislav,UKR,,,,,,1.0,0.25,,,1.0,0.25,0.0,,,,,,,,2.5
276,SHIRSHOV Vasiliy,RUS,,,,,,,,1.5,0.75,,,,,0.25,,,,,,2.5
277,DAULETNAZAROV Azizbek,UZB,,,,,,,,,,,0.5,1.0,0.75,0.25,,,,,,2.5
278,MARUELLE Francois,FRA,,,,,,,,0.75,1.5,0.25,,,,,,,,,,2.5
279,NGAM-NUCH Phongphipat,THA,,,,,,,,,,,,,,,,,,,2.5,2.5
280,BRONISZEWSKI Marcel,POL,,,,,,0.25,1.0,0.375,,0.5,0.0,0.0,,0.25,,,,,,2.375
281,SHAHMIRI Ahmad Reza,IRI,2.0,,,,,,,,0.0,,,0.25,,,,,,,,2.25
282,WEBER Leonard,GER,,,0.5,0.0,,,0.5,,,,0.25,0.25,0.75,,,,,,,2.25
283,KUPELI Adem Doruk,TUR,,,,,0.5,,1.0,0.75,0.0,,,,,,,,,,,2.25
284,KAWANO Osuke,JPN,,,,,,,,1.5,,,,,0.75,,,,,,,2.25
285,IAM Jethro,HKG,,,,,,,0.5,0.375,0.0,,0.25,0.25,0.75,,,,,,,2.125
286,ALMASRI Osama,JOR,,,,,1.0,0.25,,,0.75,,,,,0.0,,,,,,2.0
287,TAHLA Abdallah,JOR,,,,,0.0,0.25,,0.0,1.5,,,,,0.25,,,,,,2.0
288,ILIASZ Nicolas,HUN,,,,,,,,,,,2.0,0.0,,,,,,,,2.0
289,TALLARICO Antonio,ITA,,,,,,,,,,,,2.0,,,,,,,,2.0
290,NA Minuk,KOR,,,,,,,,,,,2.0,,,,,,,,,2.0
290,ANTHONY Devyn,USA,,,,,,,,,,2.0,,,,,,,,,,2.0
292,IARULLIN Kiram,RUS,,,,,,,,,,,,2.0,0.0,,,,,,,2.0
293,GUFFEY Christopher,USA,,,,,,,,,,2.0,,,,,,,,,,2.0
294,FERJANI Ahmed,TUN,,,,,,,1.0,,,1.0,,,,,,,,,,2.0
295,CABALLERO Rogelio,ESP,,,,,,,,1.5,,0.5,0.0,,,,,,,,,2.0
296,ZHOU Junwei,CHN,,,,,,,,,,0.25,0.0,0.25,1.5,,,,,,,2.0
297,SUNG Hyeonmo,KOR,,,,,,,,,,,1.0,,0.75,0.25,,,,,,2.0
298,QI Yeyoucheng,CHN,,,,,,,,,,1.0,,,,1.0,,,,,,2.0
299,DENKIEWICZ Aleksander,POL,,,,,,,1.0,0.375,,,,0.25,,0.25,,,,,,1.875
300,RAGGI Nicola,ITA,,0.5,0.25,1.0,,,,,,,,,,,,,,,,1.75
301,DALEKOV Simeon,BUL,,,,,1.0,0.0,,0.75,,,,,,,,,,,,1.75
302,BOHOVIN Bohdan,UKR,,,,,,0.0,0.5,,,0.0,0.25,0.0,,1.0,,,0.0,,,1.75
303,LI Junyan Aaron,HKG,,,,,,,,0.0,,,1.0,,0.75,,,,,,,1.75
304,PATURZO GONZALEZ Emilio,USA,,,,,,,,0.75,,,,,,1.0,,,,,,1.75
305,LAZAR Alexander,AUT,,1.0,0.0,0.5,0.0,,0.0,,0.0,,,0.0,,0.0,,,,,,1.5
306,HUSMANN Matthis,GER,,,0.25,0.5,,,0.25,,,,,0.5,,,,,,,,1.5
307,ASLAN Tolga,TUR,,,,,0.25,,0.5,,0.75,,,,,,,,,,,1.5
308,CHAN Phu Xien,SGP,,,,,0.25,,,,,,,,,,,,,,1.25,1.5
309,CROMIE Max,GBR,,,0.0,0.25,,,0.5,0.375,0.375,,0.0,0.0,,,,,,,,1.5
310,KUERBIS Jarl,GER,,,0.0,0.0,,,0.0,0.75,0.75,,0.0,0.0,,,,,,,,1.5
311,KOLOBAIEV Dmitrii,UKR,,,0.0,,,0.0,0.0,,,0.25,0.25,1.0,,0.0,,,0.0,,,1.5
312,TSYPIN Ivan,RUS,,,,,,,,1.5,,,,,,,,,,,,1.5
313,WON Taeyoung,KOR,,,,,,,,,,,,,1.5,,,,,,,1.5
314,HWANG Hyunho,KOR,,,,,,,,,,,,,1.5,,,,,,,1.5
315,SAGARDI DIAZ David,ESP,,,,,,,,,1.5,,,,,,,,,,,1.5
315,JOO Jinhyun,KOR,,,,,,,,,,,,,1.5,,,,,,,1.5
317,PARK Junseong,KOR,,,,,,,,,,,,,1.5,,,,,,,1.5
318,RISCH RIFFARTH Benoit,FRA,,,,,,,,1.5,,,,,,,,,,,,1.5
319,HIWATASHI Reo,JPN,,,,,,,,,,,0.5,1.0,0.0,0.0,,,,,,1.5
320,LEE Dohun,KOR,,,,,,,,,,,,,1.5,,,,,,,1.5
321,PINTO Marcus,BRA,,,,,,,,0.0,,0.0,,,,0.25,,,,,1.25,1.5
322,DE VISSCHER Jules-Emile,BEL,,,1.0,,,,,0.375,,,,,,,,,,,,1.375
323,LOPEZ DE GUERENU Jorge,ESP,,,0.25,,,,0.25,,0.375,,,0.5,,,,,,,,1.375
324,TORI Maximilien,FRA,,,0.25,,,,,0.375,,,,,0.75,,,,,,,1.375
325,ROUVIERE Paul,FRA,,,,,,,,0.375,,,,0.25,0.75,,,,,,,1.375
326,KONG Kenneth,SWE,,1.0,,,,,,,,,0.25,,,,,,0.0,,,1.25
327,ALLEN Samuel,GBR,,,0.5,,,,0.5,,,,0.25,,,,,,0.0,,,1.25
328,WAGNER Filip,CZE,,,0.25,0.25,,0.5,,,,,0.25,0.0,,,,,0.0,,,1.25
329,ALTINCEKIC Toprak,TUR,,,,,0.25,,1.0,,,,,,,,,,,,,1.25
330,CACEK Simon,CZE,,,0.0,0.25,,0.0,,,,,0.5,0.5,,,,,0.0,,,1.25
331,WITZKE Alessio,GER,,,0.0,0.0,,,0.25,0.0,0.0,0.0,0.5,0.25,0.0,0.25,,,,,,1.25
332,RAMIREZ Santiago,MEX,,,,,,,,,,0.0,,,,,,0.0,,,1.25,1.25
333,MAMMADOV Saleh,AZE,,,,,,,,,,,,,,,,,0.0,,1.25,1.25
334,LEE Herald,SGP,,,0.0,,,,,,,,,,0.0,,,,,,1.25,1.25
335,LEE William Nigel,MAS,,,,,,,,,,,,,,,,,,,1.25,1.25
336,BIBI Eliott,FRA,,,,,,,0.5,0.75,,,,,,,,,,,,1.25
337,ROBINSON William,CAN,,,,,,,,,,,,,0.75,0.5,,,,,,1.25
338,ALSHAMLAN Yousef,KUW,,,,,,,,,,,,,,,,,,,1.25,1.25
339,SKEETE Kamar,USA,,,,,,,,0.375,0.0,,,,0.375,0.5,,,,,,1.25
340,HAN William,CAN,,,,,,,0.25,,0.75,0.25,0.0,,,0.0,,,,,,1.25
341,TANGAMORNRAT Nattapong,THA,,,,,,,,,,,,,,,,,,,1.25,1.25
342,PAPP Zsadany,HUN,,,,,,,,0.375,,,0.5,0.25,,,,,,,,1.125
343,SHOKOUHI Erfan,IRI,1.0,,,,,,,,,,,,,,,,,,,1.0
344,HENDRIKS Jasper,NED,,1.0,0.0,,,,,,,,,,,,,,,,,1.0
345,DANESHMANDI Danial,IRI,1.0,,,,,,,,,,,,,,,,,,,1.0
346,SHAKER Mohammad Mahdi,IRI,1.0,,,,,,,,,,,,,,,,,,,1.0
347,CIDU Casian,ROU,,,,,,0.25,,,,0.5,,0.25,,,,,,,,1.0
348,KIM Ethan,USA,,,,,,,,,,1.0,,,,,,,,,,1.0
349,KIM Byungsoo,KOR,,,,,,,,,,,1.0,,,,,,,,,1.0
350,BADR YOUSSEF,EGY,,,,,,,,,,,,,,1.0,,,,,,1.0
351,LU Xinzhen,CHN,,,,,,,,,,,,,,1.0,,,,,,1.0
352,BEGJANOV Artur,UZB,,,,,,,,,,,,,,1.0,,,,,,1.0
353,TSE Aiden,USA,,,,,,,,,,1.0,,,,,,,,,,1.0
354,WU Jiasheng,CHN,,,,,,,,,,,,,0.75,0.25,,,,,,1.0
355,CHUPRAKOV Artur,KAZ,,,,,,,,,0.75,,0.25,,,0.0,,,,,,1.0
356,NOWINOWSKI Kacper,POL,,,,,,,0.25,0.75,,,0.0,,,,,,,,,1.0
357,PETRUCZ Mirko,HUN,,,,,,,,0.75,,,0.25,,,,,,,,,1.0
358,QIN Yuen,CHN,,,,,,,,,,,,,0.75,0.25,,,,,,1.0
359,SATO Harumasa,JPN,,,,,,,,,0.0,0.25,0.25,0.25,,0.25,,,,,,1.0
360,FILEV Viktor,BUL,,,,,,0.5,,0.375,,,,,,,,,,,,0.875
361,LIANG Chung-Yi,TPE,,,,,,,,0.375,0.0,0.25,0.25,,0.0,,,,,,,0.875
362,KIRIMLIDIS Michalis,IRL,,0.5,0.0,0.0,,,,0.0,,,0.25,,,,,,0.0,,,0.75
363,KASABOV Tervel,BUL,,,,,0.25,0.5,,,,,,,,,,,,,,0.75
364,CHIARI Lukas,AUT,,0.5,,0.0,0.0,,,0.0,0.0,,0.0,0.25,,0.0,,,,,,0.75
365,ALBAHRANI Ali,KSA,,,,,0.5,,0.25,,,,,0.0,,0.0,,,,,,0.75
366,BANYAY Endre Marcell,HUN,,,0.0,,0.5,,,,,,0.25,,,,,,,,,0.75
367,OINAM Jubraj Singh,IND,,,0.0,0.25,,,,0.0,,,,,,0.5,,,,,,0.75
368,MAKLAKOV Julian,GER,,,0.0,0.0,,,,,,,,,0.75,,,,,,,0.75
369,BRIGHT HENTRY Bebit,IND,,,0.0,0.0,,,,0.75,,,,,,0.0,,,,,,0.75
370,KIM Junhyeong,KOR,,,,,,,,,,,,,0.75,,,,,,,0.75
371,CHO Ryan,CAN,,,,,,,,,,,,,0.75,,,,,,,0.75
372,KAJOR Krzysztof,POL,,,,,,,0.25,0.0,,0.0,0.5,0.0,,,,,,,,0.75
373,KAWAHARA Motoki,JPN,,,,,,,,,,,,,0.75,,,,,,,0.75
374,PARK Jungho,KOR,,,,,,,,,,,,,0.75,,,,,,,0.75
375,ENACHE Mihnea,ROU,,,,,,0.5,,0.0,,,0.0,,,,,,,,,0.5
376,MORADI ANGHANEH Hesam,IRI,0.5,,,,,,,,,,,,,,,,,,,0.5
376,POURSALMANI Parsa,IRI,0.5,,,,,,,,,,,,,,,,,,,0.5
378,RAZAVI Mobin,IRI,0.5,,,,,,,,,,,,,,,,,,,0.5
378,ARTUSO Andrea,ITA,,,0.5,,,,,,,,,,,,,,,,,0.5
380,MOLAEI Mehdi,IRI,0.5,,,,,,,,,,,,,,,,,,,0.5
380,TCHETNGA Eliott,FRA,,,0.5,,,,,,,,,,,,,,,,,0.5
382,LARRES Felix,GER,,,0.5,0.0,,,,,,,,,,,,,,,,0.5
383,GOOSSENS Robbert,NED,,0.5,,,,,,,,,,,,,,,,,,0.5
383,ENE Michael,ROU,,,,,,0.5,,,,,,,,,,,,,,0.5
385,ABEDINI Miad,IRI,0.5,,,,,,,,,,,,,,,,,,,0.5
386,HAYNES Luke,GBR,,,0.5,0.0,,,,0.0,,,0.0,0.0,,,,,,,,0.5
387,SHAHEDI Mohammadmatin,IRI,0.5,,,,,,,,,,,,,,,,,,,0.5
387,EVA Alexandru,ROU,,,,,,0.5,,,,,,,,,,,,,,0.5
387,AGUSTSSON Gunnar Egill,ISL,,0.5,,,,,,,,,,,,,,,,,,0.5
390,VON DER WEPPEN Tim,GER,,,0.25,0.25,,,,,,,,,,,,,,,,0.5
391,MARKUNIN Ihor,UKR,,,,,,0.25,,,,,0.25,,,,,,,,,0.5
392,MATARBEH Zaid,JOR,,,,,0.0,0.25,,,,,,,,0.25,,,,,,0.5
393,AYAZ Yigit,TUR,,,,,0.0,,0.5,,,,,,,,,,,,,0.5
394,MOGG Leopold,GER,,,0.0,0.0,,,0.25,0.0,,,0.25,0.0,,,,,,,,0.5
395,KUKLIN Nikita,RUS,,,,,,,,,,,,,,0.5,,,,,,0.5
396,KIM Elijah,USA,,,,,,,,,,0.5,,,,,,,,,,0.5
397,ELARABY Mazen,EGY,,,,,,,,,0.0,0.5,,,,,,,,,,0.5
398,JOO Jeein,USA,,,,,,,,,,0.5,,,,,,,,,,0.5
399,HRUSHAVETS Raman,BLR,,,,,,,0.5,,,,,,,,,,,,,0.5
400,KUTEK Konstanty,POL,,,,,,,,0.0,,,0.5,,,,,,,,,0.5
401,DADAEV Alexey,RUS,,,,,,,,,,0.5,,,,,,,,,,0.5
401,TOTH Robin Viktor,HUN,,,,,,,,,,,0.5,,,,,,,,,0.5
403,XUE Haoran,CHN,,,,,,,,,,,,,,0.5,,,,,,0.5
404,WONG Cheuk Long Javon,HKG,,,,,,,0.5,0.0,,0.0,,,,,,,,,,0.5
405,CHANG Hoi Chun,HKG,,,,,,,0.5,0.0,,,,,,,,,,,,0.5
406,ZASTAWNY Pawel,POL,,,,,,,,,,,,0.5,,,,,,,,0.5
407,LUCAS DE LA FUENTE Javier,ESP,,,,,,,0.5,,,,,,0.0,,,,,,,0.5
408,ERMAKOV Semeon,USA,,,,,,,,,,0.5,,,,,,,,,,0.5
409,NURKATULY Kainazar,KAZ,,,,,,,,,0.0,,0.25,0.0,,0.25,,,,,,0.5
410,ABBASI Abtin,CAN,,,,,,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,,,,,,0.5
411,YEN Darren,USA,,,,,,,,,,0.25,,0.25,,,,,,,,0.5
412,EVENO Elouann,FRA,,,,,,,,0.375,,,,,,,,,,,,0.375
413,MCPHEDRAN Spencer,CAN,,,,,,,,0.375,,,,,,,,,,,,0.375
414,BISCH Jean Hutmann,FRA,,,,,,,,0.375,,,,,,,,,,,,0.375
415,BILLOD Thomas,FRA,,,,,,,,0.375,,,,,,,,,,,,0.375
416,FONG Hiu Nam,HKG,,,,,,,,0.375,,,0.0,,0.0,,,,,,,0.375
417,FRODE Kalle,SWE,,0.25,,,,,,,,,0.0,,,,,,0.0,,,0.25
418,AL-LAMI Ali,IRQ,0.25,,,,,,,,,,,,,,,,,,,0.25
419,TSAO Jasper,HKG,,0.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.25
420,MUSTAFA Itbi,IRQ,0.25,,,,,,,,,,,,,,,,,,,0.25
421,PLANTINGA Henri,NED,,0.25,0.0,,,,,,,,,,,,,,,,,0.25
422,BAGHER ZANJANI Mehrshad,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
422,TWINE Daniel,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
424,GOLZAR Shahryar,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
424,MYSIOREK Nathan,LUX,,0.25,,,,,,,,,,,,,,,,,,0.25
426,ALBASHIR Meshary Salim,KSA,,,,,0.25,,,,,,,,,,,,,,,0.25
426,MUSAWI Kumail,IRQ,0.25,,,,,,,,,,,,,,,,,,,0.25
428,EVANS Joe,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
428,VALINEJAD Danial,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
430,DEHGHAN ZADEH Parsa,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
431,KRAL Lumir,CZE,,,0.0,0.25,,0.0,,,,,,,,,,,,,,0.25
432,ABBASZADEH Mohammadtaha,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
433,SHINDE Abhay Krishna,IND,,,,0.25,,,,,0.0,,0.0,0.0,,,,,,,,0.25
434,MAHBAS Mahdi,IRQ,0.25,,,,,,,,,,,,,,,,,,,0.25
435,ARUTA Antonio,ITA,,,,0.25,,,,,,,,0.0,,,,,,,,0.25
436,TAKKA Arda,TUR,,,,,0.25,,,,,,,,,,,,,,,0.25
436,MUSAWI Mousa,IRQ,0.25,,,,,,,,,,,,,,,,,,,0.25
438,ALQUDIHI Ahmed,KSA,,,,,0.25,,,,,,,,,,,,,,,0.25
438,ALAEDDINI Amirhossein,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
440,SCHIFFER Mika,GER,,,0.0,0.25,,,,,,,0.0,,,,,,,,,0.25
441,MARTIN Henry,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
441,ASHOURI Amir Mehdi,IRI,0.25,,,,,,,,,,,,,,,,,,,0.25
443,TANERLER Arda,TUR,,,,,0.25,,,,,,,,,,,,,,,0.25
443,BLOIN Maxence,FRA,,,0.25,,,,,,,,,,,,,,,,,0.25
445,BRYDEN Joshua,GBR,,,,0.25,,,,,,,,,,,,,,,,0.25
445,YILDIRIM Mustafa,TUR,,,,,0.25,,,,,,,,,,,,,,,0.25
445,ZAHREBELNIY Dmytrii,UKR,,,,,,0.25,,,,,,,,,,,,,,0.25
445,LE GAC BRIAND Ulysse,FRA,,,0.25,,,,,,,,,,,,,,,,,0.25
449,FULOP Zsombor,HUN,,,0.25,0.0,,,,,,,,,,,,,,,,0.25
450,MUNTEANU Rares,ROU,,,,,,0.25,,,,,,,,,,,,,,0.25
451,LUMSDEN Guy,GBR,,,0.25,,,,,,,,,,,,,,,,,0.25
452,RAYKIN Dimitar,BUL,,,,,0.0,0.0,,0.0,,,0.25,,,0.0,,,0.0,,,0.25
453,THOME Simon,GER,,,0.0,0.0,,,,0.0,,,0.0,0.25,,,,,,,,0.25
454,PAPAI Roland,HUN,,,,0.0,,,,0.0,,,0.25,,,,,,,,,0.25
455,GELLETT Charles,GBR,,,0.0,0.0,,,0.25,0.0,,,,0.0,0.0,,,,,,,0.25
456,TONCHEV Dimitar,BUL,,,,,0.0,0.0,,,,,0.25,,,,,,,,,0.25
457,AIT OUFELLA Matiss,ALG,,,0.0,,,,0.25,0.0,,,,,,,,,,,,0.25
458,HMISSI Amenallah,TUN,,,,,,,0.25,,,,,,,,,,,,,0.25
459,FRIAS Saul,MEX,,,,,,,,0.0,,0.25,,,0.0,,,,,,0.0,0.25
460,NOSEDA Szabolcs,HUN,,,,,,,,,,,0.25,,,,,,,,,0.25
461,MATTOO Surya,PUR,,,,,,,,,,0.25,,,,,,,,,,0.25
461,WANG Rui,CHN,,,,,,,,,,,,,,0.25,,,,,,0.25
463,DROBNI Botond,HUN,,,,,,,,,,,0.25,,,,,,,,,0.25
463,YAO Jintao,CHN,,,,,,,,,,,0.25,,,,,,,,,0.25
465,WOODWARD Connor Bryce,PUR,,,,,,,,,,0.25,,,,,,,,,,0.25
466,SKOROKHOD Daniil,UKR,,,,,,,,,,,,,,0.25,,,,,,0.25
467,ZHAO Lucas PinXuan,CHN,,,,,,,,,,0.25,,,,,,,,,,0.25
468,DI MARTINO Pietro Jose,ARG,,,,,,,,0.0,0.0,,0.25,,,,,,,,0.0,0.25
469,ALAMAWI Ahmad,JOR,,,,,,,,,,,,,,0.25,,,,,,0.25
469,ANDRES Michael,PHI,,,,,,,,,,0.25,,,,,,,,,,0.25
471,HELMY OMAR,EGY,,,,,,,,,,,,,,0.25,,,,,,0.25
472,SAMER Mohab,EGY,,,,,,,0.25,,0.0,,,,,,,,,,,0.25
473,MOLINA PINEDA Moises,VEN,,,,,,,,0.0,0.0,,0.25,0.0,,0.0,,,,,,0.25
474,TSE Hong Wang,HKG,,,,,,,0.0,,,0.0,,,,0.25,,,,,,0.25
475,MICLAUS Justin,ROU,,,,,,,0.0,,,0.25,,,,,,,,,,0.25
476,NAGY Kristof,HUN,,,,,,,,,,,0.25,,,,,,,,,0.25
476,ELBAKRY Ahmed,EGY,,,,,,,,,,0.25,,,,,,,,,,0.25
478,PEREZ FOURCADE Cristobal,ARG,,,,,,,,,,0.25,,,,,,,,,,0.25
479,WONG Anson Tsz Wun,HKG,,,,,,,0.25,0.0,,0.0,,,,,,,,,,0.25
480,KIM Shaun,USA,,,,,,,,,,0.25,,,,,,,,,,0.25
481,GELINAS Marc,CAN,,,,,,,0.0,,,0.25,0.0,,0.0,,,,,,,0.25
482,TOCCI Leonardo,ITA,,,,,,,,,,,,0.25,,,,,,,,0.25
483,NOFAL Zeyad,EGY,,,,,,,,,,,,,,0.25,,,,,,0.25
484,WANG Robert,USA,,,,,,,,,,0.25,,,,,,,,,,0.25
485,LUO Han,HUN,,,,,,,,,,,0.25,,,,,,,,,0.25
486,SO Long Hyn,HKG,,,,,,,,,,0.25,,,,,,,,,,0.25
487,GEOFFROY Quentin Saysana,FIE,,,,,,,,,,,,0.25,0.0,0.0,,,,,,0.25
488,VAJDA Oszkar,HUN,,,,,,,,,,,,,,0.25,,,,,,0.25
489,TENG Matthew,CAN,,,,,,,,,,0.0,,,,0.25,,,,,,0.25
490,FRABOULET Roman,FRA,,,,,,,,,,,,,,0.25,,,,,,0.25
491,SEE Jorelle Zhuo Rui,SGP,,,,,,,,0.0,,,0.25,0.0,0.0,,,,,,,0.25
492,PALACIOS MURILLO Mario Alberto,COL,,,,,,,,,,,0.25,,,,,,,,,0.25
492,HIRSCH BUTTE Pietro,ITA,,,,,,,,,,,,0.25,,,,,,,,0.25
494,BENEDICT Nicolaus,AUT,,,,,,,,0.0,,,0.25,,,,,,,,,0.25
495,AITMYRZA Nursat,KAZ,,,,,,,,,,,0.25,,,0.0,,,,,,0.25
496,YAO Jincheng,CHN,,,,,,,,,,,0.25,,,,,,,,,0.25
497,CHIANG Enno,NED,,0.0,0.0,,,,,,,,,,,,,,,,,0.0
498,WILLMOTT Ben,GBR,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
499,LEIGH Thomas,NZL,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0
500,YAO Boula Sidney,CIV,,,,,,,,,,,,,,,0.0,,,,,0.0
501,CONTE Aboubacar,GUI,,,,,,,,,,,,,,,0.0,,,,,0.0
501,GODO Frigyes,HUN,,0.0,,,,,,,,,,,,,,,,,,0.0
503,HARMS Owen,GBR,,0.0,,0.0,,,,,,,,,,,,,,,,0.0
504,OLEN Phoenix Zaoku,NGR,,,,,,,,,,,,,,,0.0,,,,0.0,0.0
505,SHOKOUHI Mohammadmahdi,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
506,NAEINIAN Yousef,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
507,DARABI Taha,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
508,FARAZ Mohammad Parsa,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
509,GAN Jerome,SGP,,,0.0,,0.0,,,,,,,,,,,,,,,0.0
510,ALIZADE ALVAGI Eilya,IRI,0.0,,,,,,,,,,,,,,,,,,,0.0
